기업,기사발행일,기사제목,뉴스기사본문
해피드림,2014.11.19. 오전 10:35,상장사 잇따른 자산재평가,"[아시아경제 정준영 기자] 최근 재무구조 개선을 위해 자산재평가를 실시하는 기업들이 줄을 잇고 있어 눈길을 끈다.

19일 금융감독원 전자공시시스템에 따르면 전일 덕양산업은 울산 소재 토지 등 보유 부동산 4건에 대해 자산재평가를 실시하기로 결정했다고 밝혔다.

지난달 말 현재 장부가액은 126억5700만원 수준으로 가온감정평가법인이 평가를 맡았다. 회사 측은 ""회계정책을 원가모형에서 재평가모형으로 변경하는 것이 신뢰성 있는 정보를 제공한다고 판단했다""면서 ""재평가에 따른 재무구조 개선이 기대된다""고 설명했다.

4분기 들어 자산재평가 실시에 나서거나 이미 결과를 반영한 유가증권 상장사는 덕양산업과 한진해운홀딩스, 대우부품 등 3곳이며 코스닥 상장사는 해피드림, 제일테크노스 등 2곳이다.

자산재평가는 법인이 보유한 사업용 자산을 시가에 맞도록 장부가액을 증액하는 것이다. 기업들은 보유 자산의 실질가치 파악을 통해 자기자본비율과 재무구조 개선, 대외신용도 증가 등의 효과를 거둘 수 있다.

앞서 한진해운홀딩스는 장부가 317억원 수준이던 서울 영등포 본사 사옥 토지를 재평가한 결과 1503억2700만원(자산총액 대비 96.31%)에 달해 차액인 1186억1300만원만큼 자본을 늘렸다고 지난달 10일 공시했다.

해피드림은 지난달 충남 당진, 경기 오산ㆍ광명 등에 갖고 있던 51건의 토지(장부가 305억원)를 재평가해 차액인 159억원 만큼 자산을 키웠다. 이연법인세 부채(35억원)를 제한 124억원을 자본 증가 처리하기로 했다.

제일테크노스도 포항 소재 토지 6건(장부가 245억원)을 재평가해 차액인 160억원만큼 자산을 늘렸다. 이연법인세 부채(35억원)을 제한 125억원을 자본 증가 처리한다고 지난달 1일 공시했다.

대우부품의 경우 부채비율 개선을 위해 이달 10일 전북 정읍 소재 토지ㆍ건물과 경기 군포 땅 등 총 22건의 부동산에 대해 자산재평가를 실시하기로 했다. 평가는 써브감정평가법인이 맡았으며 지난달 말 기준 장부가 207억원 규모다.

금융투자업계 관계자는 ""자산재평가로 인한 재무구조 개선은 수치상 변화일 뿐이다""며 ""투자시 실제 수익성 개선 여부 등을 꼼꼼히 따져봐야 한다""고 조언했다.

정준영 기자 foxfury@asiae.co.kr

▶ 아시아경제 기획특집 韓 주변 리더십 大충돌 ""아베vs시진핑""[루머앤진실] [네티즌핫이슈] [골프뉴스] [부동산소식] [자동차정보]

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
해피드림,2014.11.12. 오후 3:48,'단일가' 딱지 뗀다..들뜬 코스닥 관리종목들,"- 17일부터 30분 단위 아닌 실시간 매매 가능해져
- 오성엘에스티 해피드림 등 14개사 적용될 듯
- 투자 불안심리 해소 및 편의성 제고 기대..일제히 주가 반등

[이데일리 김대웅 기자] 코스닥 관리종목들이 뜻밖의 호재를 만났다. 제도 변화에 따라 그간 30분 주기의 단일가매매 방식에서 벗어나게 됐기 때문이다. 해당 기업들은 대체로 이같은 기대감을 반영하며 양호한 주가 흐름을 보이고 있다.

12일 한국거래소에 따르면 현재 코스닥 관리종목은 30분 주기의 단일가 매매방식으로 거래되고 있는데, 17일부터 이같은 제약이 없어지고 일반 종목과 같은 실시간매매(접속매매) 방식을 따르게 된다.

현재 코스닥 시장에는 27개 기업이 관리종목으로 지정돼 있고, 거래정지 중인 종목을 제외하면 현재로선 오성엘에스티(052420) 해피드림(065180) 울트라건설(004320) 뉴프라이드(900100) 등 14개 종목이 17일부터 적용받을 전망이다.

그간 코스닥 관리종목은 투자자들이 호가를 제출해 30분간 접수하고 이를 토대로 단일가격을 산출하는 방식으로 거래돼 왔다. 재무구조 불안정성 등의 사유로 관리종목으로 지정된 종목들에 대한 위험관리 차원이었다. 이는 거래소가 지난 2009년 4월부터 코스닥 관리종목에 대해서 적용해 온 제도다.

그러나 이같은 방식은 유가증권시장과 달라 문제로 지적됐다. 유가증권시장의 관리종목 매매는 일반종목과 동일한 실시간매매 방식으로 이뤄지고 있기 때문이다. 더구나 지난 9월부터 주가 급변 시 발동되는 ‘변동성 완화 장치’가 새롭게 도입되면서 단일가매매 방식이 유명무실해졌다는 지적이 일었다.

실시간매매 도입과 함께 시간외 단일가 역시 30분주기(5회)에서 10분주기(15회)로 늘어나고, 호가공개범위도 기존 3단계에서 10단계로 확대된다.

거래소 관계자는 “현재 급격한 시세 변동에 대해 제어할 수 있는 새로운 장치가 도입됐고, 5년 전보다 시장 환경도 안정된 상태여서 투자자들의 편의를 제고하는 쪽으로 제도를 변경키로 했다”고 취지를 설명했다.

이렇자 거래 제한 요인이었던 ‘단일가’ 딱지를 떼게 된 해당 기업들은 활짝 웃는 표정이다. 주가도 이에 화답하듯 최근 양호한 흐름을 보이고 있다. 오성엘에스티는 이틀 연속 상한가를 기록했고, 해피드림도 사흘째 강세를 이어가고 있다. 뉴프라이드도 닷새 연속 오름세를 기록했다. 종목별 개별 호재도 있었지만 이를 배제하더라도 전반적으로 투자심리에 긍정적인 영향을 받는 모습이다.

해당 상장사 관계자는 “유가증권시장 관리종목과의 형평성을 맞출 수 있게 됐고 투자자들의 편의 제고도 기대된다”며 “경영환경과 재무환경이 개선되는 상황이고 곧 관리종목 탈피가 기대되는 만큼 불신 해소의 시기를 앞당길 수 있게 됐다”고 말했다.





김대웅 (daxiong@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
해피드림,2014.11.20. 오후 6:20,[기업공시] 한국항공우주 外,"<유가증권>

▲한국항공우주=에어버스와 1,023억원 규모 A321동체구조물(16A Barrel Panels) 공급물량 증산계약 체결 ▲태영건설=투자이익 실현과 유동성 확보 목적으로 SK케미칼 주식 62만3,000주를 377억원에 매각 ▲삼광글라스=주가안정 및 주주가치 제고 위해 10억원 규모의 자기주식취득 신탁계약 체결 결정 ▲한국석유공업=주가안정화 및 임직원 상여 위해 3억6,000만원 규모의 자기주식 취득 결정 ▲현대건설=서울행정법원이 관급공사 입찰참가자격제한처분 효력정지 결정 <20일>

▲남광토건=변경 회생계획안의 심리 및 결의를 위한 관계인 집회가 다음달 19일로 결정 ▲우리은행=우리금융지주가 우리은행을 흡수합병함에 따라 최대주주가 우리금융지주에서 예금보험공사로 변경 ▲현대미포조선=최원길 대표이사가 사임하고 강환구 대표이사 체제로 변경 ▲에리트베이직=해피바우하우스 유한회사에 40억원 규모의 자금 대여 결정 ▲현대산업개발=천안백석아이파크에 대해 600억원 규모의 채무보증 결정 ▲기아차=안정적 자금운용 및 수익성 제고 위해 HMC투자증권으로부터 500억원 규모의 MMT 매수 ▲현대건설=미래문정프로젝트주식회사의 대출금에 대한 조건부 채무 인수 결정 ▲신일산업=김영 회장이 황귀남 외 3인과 신일산업주식회사 상대로 의결권 행사 금지 가처분 신청 <19일>

<코스닥>

▲르네코=운영자금 마련 위해 10억원 규모 일반공모 유상증자 결정▲엔브이에이치코리아=주가안정 목적으로 38억7,500만원 규모의 자기주식 취득 결정 ▲모다정보통신=NAT 환경에서 멀티-홉 기반 롱-폴링 메커니즘의 구현방법 및 시스템(M2M)에 관한 특허 취득 ▲연이정보통신=계열사인 연이전자천진유한공사에 65억원 규모 채무보증 결정 ▲소프트센=대우정보시스템·솔리데오시스템즈와 79억원 규모 시도새올 공통기반 노후장비 교체 및 정보보안 강화사업에 관한 계약 체결 ▲인포피아=약제포장 장치용 카트리지 베이스에 관한 특허권 취득 <20일>

▲코엔텍=폐자원열회수사업 매출 증대와 성장동력 확보를 위해 신규 시설에 270억원 투자 ▲신진에스엠=대성철강과 33억2,000만원 규모 슬라브절단기 공급계약 체결 ▲코리아나=제3자배정 유상증자 등 투자유치 관련 보도에 대한 조회공시에 대해 적합한 투자자를 발견하지 못해 상호 간 합의를 통해 거래 종결하기로 했다고 답변 ▲해피드림=한국거래소가 최근 현저한 시황변동 관련 조회공시 요구 ▲잘만테크=한국거래소가 대출원리금 연체 사실 발생 지연공시를 이유로 불성실공시법인 지정 ▲영진코퍼레이션=회생절차 개시신청 지연공시 및 조회공시 공시 번복 심사 결과 공시 번복을 이유로 불성실공시법인으로 지정 ▲아이넷스쿨=운영자금 마련 위해 제3자배정 방식으로 20억5,500만원 규모의 유상증자 결정 <19일>

[ⓒ 인터넷한국일보, 무단 전재 및 재배포 금지]"
해피드림,2014.11.20. 오전 11:03,한화저축은행 주직자금대출 최저 금리 이벤트中~ 연 3.2% 신용/미수 대환 가능,"◆ 한도소진 시 까지 전상품 연3.2% 금리 할인 이벤트 <한화저축은행>

한화저축은행은 전 상품 모두 연3.2%의 이벤트 금리를 적용해 신용등급 차등 없이 누구나 저렴한 비용으로 최대 3억원의 투자금을 이용할 수 있다. 또한 증권사 미수/신용 상환일이 도래하는 투자자는 최대 3억원까지 대출 받아 보유주식 매도없이 이용중인 미수/신용 사용금액을 상환 할 수 있다.

한화저축은행 상품에 대해 자세히 알고 싶은 투자자는 주식매입자금대출 전용 상담전화 1644-8145 로 연락하면 전문상담원에게 대출여부와 관계없이 친절하게 상담 받을 수 있다.

< 3.2% 금리 적용 상품 >

키움증권 - 키워드림론

하나대투 - 하나원주식매입자금대출/하나대투체인지(대환상품)

유진증권 - 유진체인지(대환상품)

◆ 팍스넷 주식매입자금대출(연계신용)이란?

팍스넷이 국내 메이저 증권사(대신증권, 하나대투증권, 우리투자증권, 한국투자증권, 동양증권, 대우증권, 현대증권, 하이투자증권, 유진투자증권, LIG투자증권, KB투자증권), 금융기관(신한저축은행, BS저축은행, 우리금융저축은행, 하나저축은행, 우리캐피탈, 한국투자저축은행, KB캐피탈, 동부화재해상보험, 한화손해보험, LIG손해보험, KB저축은행, ORIX캐피탈, 한화저축은행, SBI저축은행 등)과 제휴를 맺고 주식투자자에게 본인자금의 3배수, 최대 3억원까지 주식매수자금을 대출하는 상품이다.

최근에는 제도권하에서 연계신용이라는 명칭으로 주목받으며 1.3조원의 잔고를 기록하기도 했으며, 팍스넷 연계신용을 사용할 경우 신용등급에 차등없이 누구나 연3.2%의 비용으로 투자가 가능해 투자자들 사이에서 큰 인기를 누리고 있다.

- 한 종목 100% 집중투자, 온라인 매매수수료 무료

- 인터넷으로 신청하고 실시간으로 주식매입자금 입금

- 마이너스통장식/한도증액대출 적용상품

- 실시간 미수/신용상환, 미수동결계좌도 신청가능

- ETF(KODEX 레버리지, KODEX 인버스)포함 1,500여개 매수가능종목

☞ 팍스넷 주식매입자금대출 바로가기

[No.1 증권포털 팍스넷] 11월 20일 종목검색 랭킹 50

바른손이앤에이, 아이원스, 플레이텍, 효성ITX, 스틸플라워, 케이엘넷, 해피드림, 한국화장품제조, 금호산업, 슈피겐코리아, 크루셜텍, 삼환기업, 솔브레인이엔지, 금성테크, 에이스하이텍, 태양기전, 도화엔지니어링, 이너스텍, 리젠, 신성에프에이, 초록뱀, 넥솔론, 아이디에스, 에이모션, 행남자기, 한화케미칼, 아이디에스, 엠벤처투자, 세하, 아이디엔, 대성창투, 모헨즈, 중국원양자원, 성안, 모나미, 롯데관광개발, 씨큐브, 플레이위드, 유니켐, 키스톤글로벌, 유성티엔에스, 산성앨엔에스, 디지털옵틱, 신진에스엠, 오로라, 부스타, 아이디엔, 대동금속, 가비아, 포인트아이, 한국정보인증, 컴투스, 기업은행, 경남기업, 파버나인, 현대차, 데브시스터즈, 한진, 셀트리온, 현대엘리베이터

< 본 정보는 인터넷한국일보에서 제공하는 투자판단의 참고사항입니다. >

[ⓒ 인터넷한국일보, 무단 전재 및 재배포 금지]"
해피드림,2014.11.19. 오후 9:17,"[기업공시] 아이넷스쿨, 운영자금 마련 위해 제3자 배정방식으로 20억5500만원 규모의 유상증자 결정 外","<유가증권>

▲남광토건=변경 회생계획안의 심리 및 결의를 위한 관계인 집회가 다음달 19일로 결정 ▲우리은행=우리금융지주가 우리은행을 흡수합병함에 따라 최대주주가 우리금융지주에서 예금보험공사로 변경 ▲현대미포조선=최원길 대표이사가 사임하고 강환구 대표이사 체제로 변경 ▲에리트베이직=해피바우하우스 유한회사에 40억원 규모의 자금 대여 결정 ▲현대산업개발=천안백석아이파크에 대해 600억원 규모의 채무보증 결정 ▲기아차=안정적 자금 운용 및 수익성 제고 위해 HMC투자증권으로부터 500억원 규모의 MMT 매수 ▲현대건설=미래문정프로젝트주식회사의 대출금에 대한 조건부 채무 인수 결정 ▲신일산업=김영 회장이 황귀남 외 3인과 신일산업주식회사 상대로 의결권 행사 금지 가처분 신청 <19일>

<코스닥>

▲코엔텍=폐자원열회수사업 매출 증대와 성장동력 확보를 위해 신규 시설에 270억원 투자 ▲신진에스엠=대성철강과 33억2,000만원 규모의 슬래브 절단기 공급계약 체결 ▲코리아나=제3자배정 유상증자 등 투자유치 관련 보도에 대한 조회공시에 대해 적합한 투자자를 발견하지 못해 상호 간 합의를 통해 거래 종결하기로 했다고 답변 ▲해피드림=한국거래소가 최근 현저한 시황변동 관련 조회공시 요구 ▲잘만테크=한국거래소가 대출원리금 연체 사실 발생 지연공시를 이유로 불성실공시법인 지정 ▲영진코퍼레이션=회생절차 개시신청 지연공시 및 조회공시 공시 번복 심사 결과 공시 번복을 이유로 불성실공시법인으로 지정 ▲아이넷스쿨=운영자금 마련 위해 제3자배정 방식으로 20억5,500만원 규모의 유상증자 결정 <19일>

[ⓒ 인터넷한국일보, 무단 전재 및 재배포 금지]"
해피드림,2014.11.22. 오후 1:18,게임주 활약 덕에 540선 현상유지,"[머니투데이 최민지 기자][[주말시황]11월 17~21일]

코스닥 지수가 게임주의 활약으로 오름세를 보였다.

22일 한국거래소에 따르면 11월 넷째 주 코스닥 지수는 전 주보다 0.38%(2.05) 오른 543.98로 마감했다. 게임주들이 대거 포진한 디지털컨텐츠 업종지수가 3.74% 오르며 강세를 나타냈다.

기관은 코스닥 시장에서 304억원을 순매도했다. 상위 순매수 종목은 에스엠(170억원), 컴투스(160억원), 다음카카오(102억원), 에스에프에이(76억원), 와이지엔터테인먼트(69억원), 파라다이스(69억원), CJ E&M(64억원) 등이다.

기관 순매도 종목은 1위는 셀트리온이다. 순매도 규모는 139억원이다. 이밖에도 씨젠(124억원), 이오테크닉스(101억원), CJ오쇼핑(97억원), 파티게임즈(83억원), SK브로드밴드(77억원) 등이 순매도 상위권에 올랐다.

외국인은 다음카카오(313억원), 컴투스(119억원), GS홈쇼핑(70억원), 메디톡스(61억원), 내츄럴엔도텍(52억원) 등을 순매수했다. 게임빌(201억원), 파라다이스(123억원), 씨케이에이치(123억원), 셀트리온(89억원), 와이지엔터테인먼트(43억원) 등은 순매도 했다. 총 순매수 대금은 335억원 규모다.

지난 주 주가가 가장 많이 오른 종목은 웨이포트(57.97%)다. 플레이텍(54.21%), 차이나하오란(51.52%), 슈피겐코리아(37.48%), 완리(35.01%), 베리타스(34.10%) 등도 높은 상승률을 보였다. 반면 해피드림(-35.84%), 플레이위드(-30.53%), 리노공업(-21.45%), 바른손이앤에이(-21.27%), 파버나인(-20.74%) 등은 하락세가 두드러졌다.

[내 삶을 바꾸는 정치뉴스 'the 300' 바로가기]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]['취업의 모든 것' 잡드림 ]

최민지기자 mj1@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
해피드림,2014.11.21. 오후 6:04,"[기업 공시] 휘닉스홀딩스, 자산매각 추진설과 관련한 한국거래소의 조회공시 요구 外","<유가증권>

▲휘닉스홀딩스=자산매각 추진설과 관련한 한국거래소의 조회공시 요구 ▲한화손해보험=SK텔레콤이 제기한 129억8,500만원 규모의 보험정산금 지급 소송에서 패소 ▲신한=김춘환 대표이사 외에 조경선 대표이사 신규 선임 ▲삼환까뮤=롯데건설과 49억4,340만원 규모의 경기도 김포 지역 온라인 물류센터 신축사업 PC(Precast Concrete)공사 수주 ▲효성ITX=박영배 비상근감사가 일신상의 이유로 중도 퇴임 ▲고려제강=보통주 300만주(1주당 0.2000435주) 무상증자 결정 및 매매거래 정지 ▲한국전력=최교일 사외이사가 의원면직으로 중도 퇴임 ▲휴비스=휴비스워터를 주요 종속회사로 편입 <21일>

▲SK네트웍스=KT렌탈 예비입찰제안서 제출 ▲쿠쿠전자=230억원 규모의 서울 강서구 마곡동 728-111 일원 C11-1 업무용지 취득 결정 ▲한국금융지주=계열사인 한국투자캐피탈 상대로 1,000억원 규모의 채무보증 결정 ▲슈넬생명과학=종속회사인 청계제약이 한국슈넬을 흡수 합병 ▲경남기업=원주기업도시가 원주시티제이차 등에 진 채무 342억3,317만6,000원 채무보증 결정 ▲케이씨씨=3,000억원 규모의 경기도 수원시 권선구 서둔동 296-77 외 2필지 처분 결정 ▲미래산업=경현태·이권휴 공동 대표이사에서 이권휴 단독 대표 체제로 변경 ▲한화케미칼=한화베이시스를 흡수 합병하는 계약 승인 이사회 결의 <20일>

<코스닥>

▲에듀박스=40억원 규모(1주당 3,025원)의 사모 신주인수권부사채(BW) 5% 만기 이자율로 발행 결정 ▲젬백스=이사회에서 젬백스&카엘과의 합병 승인 ▲에스에이티=기산텔레콤과 7억5,873만원 규모의 중계기용 컨트롤러 보드 제조 및 납품 계약 체결 ▲이씨에스=엘지유플러스와 14억5,500만원 규모의 한국도로공사 시내전화 및 전국대표번호 서비스용 장비 구축 계약 체결 ▲웰메이드=디케이이앤엠과 70억원 규모의 TV 드라마 공동제작 및 투자 계약 체결 ▲케이엘티=중국 에버메이트와 50억8,000만원 규모의 LCD 검사장비 공급 계약 체결 ▲지엔씨에너지=삼성전자 베트남 현지법인과 164억4,1945만원 규모의 발전기 공급 계약 체결 ▲톱텍=현대모비스와 62억2,000만원 규모의 조립라인 설치 계약 체결 ▲우리로광통신=차량 레이더 및 운영 방법에 대한 특허권 취득 ▲잘만테크=임시주주총회에서 박민석 대표이사 해임의 건 승인 및 이종건 상근감사 개인사유로 중도 사임 <21일>

▲한글과컴퓨터=가상 컨트롤 출력 지원 기반의 터치스크린 장치 및 상기 터치스크린 장치의 가상 컨트롤 출력 지원 방법에 관한 특허권 취득 ▲해피드림=최근 현저한 시황변동 관련 조회 공시에 대해 운영자금 확보를 위해 소액공모 유상증자 등을 검토 중이나 현재까지 확정된 사항 없다고 답변 ▲라이온켐텍=주가안정 및 주주가치 제고 위해 자기주식 12만주 취득 결정 <20일>

[ⓒ 인터넷한국일보, 무단 전재 및 재배포 금지]"
해피드림,2014.11.21. 오전 8:29,한 눈에 보는 11월 20일 장 이후 주요 뉴스 및 공시,"▷ 코오롱 계열사, 신재생에너지 발전업 진출

▷ 코프라, 3Q 영업익 28.7억…전년比 58.4% ↑

▷ BGF리테일, 3Q 영업익 440억원…전년比 19%↑

▷ 휘닉스홀딩스 홍석규 회장oYG엔터, 5% 지분 공시

▷ 한글과컴퓨터, 오피스 SW 관련 특허 취득

▷ 쿠쿠전자, 230억 규모 마곡지구 업무용지 취득

▷ 보해양조, 3분기 영업익 14억…전년비 22%↓

▷ SK네트웍스 ""KT렌탈 예비입찰제안서 제출""

▷ FNC엔터테인먼트, 공모가 2만8000원…수요예측 경쟁률 185대 1

▷ 한국금융지주, 한국투자캐피탈에 1000억원 채무보증

▷ 해피드림 ""유상증자 검토중..미확정""

▷ 이동윤 세하 대표, 자사주 50만주 처분

▷ 다원시스, 3·4분기 매출액 168억… 전년 동기 대비 4.35% 상승

▷ 슈넬생명과학 ""청계제약, 한국슈넬 흡수 합병""

▷ 경남기업, 원주기업도시 채무 342억원 보증 결정

▷ S&P, 신한카드 신용등급 'A-' 상향

▷ 에스에프에이, KT렌탈 예비입찰제안서 제출

▷ 한국타이어월드와이드, KT렌탈 예비입찰제안서 제출

▷ 효성, KT렌탈 예비입찰제안서 제출

▷ 수산중공업, 3분기 영업익 14.1억 전년비 43.75%↓

▷ KCC건설, KCC에 창원 건물 매각

▷ KCC건설, KCC에 234억원 규모 세종시 부동산 매도

▷ 라이온켐텍, 자사주 12만주 취득키로

▷ 한화케미칼, 한화베이시스와의 합병계약 이사회 승인

▷ MPK, 66억원 규모 채무보증 결정

▷ 다날, 77억원 규모 채무보증 결정

★ 실시간 급등주포착 프로그램 다운받기 ☞ Click ★

<본 정보는 인터넷한국일보에서 제공합니다>

[ⓒ 인터넷한국일보, 무단 전재 및 재배포 금지]"
해피드림,2014.11.21. 오전 7:11,"장 종료 후 ""이 공시 눈에 띄네""(코스닥-20일)","◆디에이테크놀로지=26만6666주에 대한 전환청구권 행사

◆MPK=북경미스터피자찬음유한공사에 66억원 규모의 채무보증 결정

◆데브시스터즈=오는 24일부터 27일까지 싱가포르와 홍콩에서 기업설명회(IR)를 개최

◆해피드림=최근의 현저한 시황변동 관련 조회공시 요구에 “운영자금 확보를 위해 소액 공모 유상증자 등을 검토하고 있으나 현재까지 확정된 사항은 없다”고 답변

◆희림=올 3분기 영업이익이 7억7427만원으로 작년 같은 기간보다 81.9% 증가

◆KCC건설=KCC에 창원 더 시티세븐몰 1층 상업시설 70억2000만원에 매각하기로 결정

이정민 기자 ljm1011@asiae.co.kr

▶ 아시아경제 기획특집 韓 주변 리더십 大충돌 ""아베vs시진핑""[루머앤진실] [네티즌핫이슈] [골프뉴스] [부동산소식] [자동차정보]

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
해피드림,2014.11.21. 오전 6:17,[눈에띄는 주요공시] 11월 20일,"다음은 20일 장마감 후에 나온 주요 공시다.

◆ 유가증권시장

미래산업(025560)은 경현태, 이권휴 공동대표이사 체제에서 이권휴 단독 대표이사 체제로 변경됐다고 공시했다.

KCC는 현대중공업(009540)주식 243만9000주를 3000억원에 취득했다고 공시했다. 계열사인 경상남도 창원시 더시티세븐몰 1층을 70억2000만원에 매수했다. 세종특별자치시 토지, 건물 및 구축물을 234억8900만원에 매입했다. 한국외환은행에 경기도 수원지 소재 토지 및 건물을 3000억원에 매각했다.

수산중공업(017550)은 올 3분기 영업이익이 14억1300만원으로 작년 같은 기간보다 43.75% 감소했다고 공시했다. 같은 기간 매출액은 18.29% 줄어든 267억8900만원, 당기순이익은 55.21% 감소한 11억6000만원을 기록했다.

슈넬생명과학(003060)은 종속회사 청계제약이 경영 합리화를 위해 한국슈넬을 흡수 합병한다고 공시했다. 합병 비율은 1대 0이며, 무증자 방식으로 이뤄진다. 합병 기일은 오는 12월 31일이다.

쿠쿠전자는 SH공사로부터 230억원 규모의 서울 마곡도시개발사업구역내 업무용지를 분양 받았다고 공시했다. 분양 목적은 수도권일대 렌탈사업조직 운영 및 영업조직확대와 중앙기술연구센터의 이전이다.

◆ 코스닥 시장

디에이테크놀로지는 26만6666주에 대한 전환청구권을 행사한다고 공시했다. 이는 발행주식총수 대비 4.62%에 이르며, 전환가액은 3750원이다. 상장일은 다음달 4일이다.

MPK는 북경미스터피자찬음유한공사에 66억원 규모의 채무보증을 결정했다고 공시했다. 이는 자기자본의 28%에 이른다.

한글과컴퓨터(030520)는 가상 컨트롤 출력 지원 기반 터치스크린 장치 및 터치스크린 장치의 가상 콘트롤 출력 지원 방법에 대한 특허를 취득했다고 공시했다. 한글과컴퓨터는 특허 기술을 자사 오피스 제품군에 적용할 계획이라고 밝혔다.

데브시스터스는 이달 24일부터 27일까지 싱가포르와 홍콩에서 기업설명회(IR)를 개최한다고 공시했다.

해피드림은 최근의 현저한 시황변동 관련 조회공시 답변에서 “운영자금 확보를 위해 소액 공모 유상증자 등을 검토하고 있으나 현재까지 확정된 사항은 없다”고 밝혔다.

희림(037440)은 올 3분기 영업이익이 7억7427만원으로 작년 같은 기간보다 81.9% 증가했다고 밝혔다. 같은 기간 매출액은 8.4% 줄어든 332억361만원을 기록했으며, 당기순이익은 7억3747만원으로 흑자 전환했다.

KCC건설(021320)은 KCC에 창원 더 시티세븐몰 1층 상업시설 70억2000만원에 매각하기로 했다고 공시했다. 세종특별자치시 전의면 유천리에 위치한 토지, 건물, 구축물도 234억8900만원에 매각했다.

[이재은 기자 jaeeunlee@chosun.com]

chosunbiz.com"
해피드림,2014.11.21. 오전 6:01,[재송]20일 장 마감 후 주요 종목뉴스,"[이데일리 최정희 기자] 다음은 20일 장 마감 후 주요 종목뉴스다.

△한화케미칼(009830)=업무중복과 법인유지 비용 등을 제거하기 위해 (주)한화베이시스를 흡수 합병함.

△한국금융지주(071050)=계열사인 한국투자캐피탈의 채무 1000억원을 보증키로 결정.

△SK네트웍스(001740), 한국타이어월드와이드(000240), 에스에프에이(056190), 효성(004800)=KT렌탈 인수추진과 관련해 예비입찰제안서를 제출.

△한글과컴퓨터(030520)=터치스크린 장치 관련 특허권 취득.

△KCC(002380)(케이씨씨)=계열사인 경상남도 창원시 더시티세븐몰 1층을 70억2000만원에 매수하고, 세종특별자치시 토지, 건물 및 구축물을 234억8900만원에 매입. 경기도 수원시 토지 및 건물을 한국외환은행에 3000억원에 매도. 현대중공업(주)의 243만9000주를 3000억원에 취득.

△데브시스터즈(194480)=24일~27일 싱가포르, 홍콩에서 기업설명회(IR) 개최.

△BGF리테일(027410)=올 3분기 440억4600만원의 영업이익을 내 전년동기비 19% 증가, 매출액과 당기순이익은 각각 9111억8900만원, 357억4600만원으로 8.0%, 144% 증가.

△쿠쿠전자(192400)=SH공사로부터 230억원 규모의 서울 마곡도시개발사업구역내 업무용지 분양 받음.

△두산중공업(034020), 대림산업(000210)=정희성 외 588명이 제기한 분양계약 취소 및 분양대금 반환청구 소송과 관련 서울고등법원은 두산중공업 등에 대해 83억1846만7220원을 지급하라고 판결.

△미래산업(025560)=경현태 공동 대표이사가 일신상 사유로 사임. 이권휴 단독 대표이사로 변경.

△삼양식품(003230)=12월 30일 강원도 원주시 삼양식품(주) 원주공장 회의실에서 임시주주총회 실시.

△세하(027970)=이동윤 세하 대표이사는 자사주 50만주 처분했다고 공시.

△경인양행(012610)=최대주주 친인척인 김주연 씨가 보통주 1만3274주 장내매도한다고 공시.

△슈넬생명과학(003060)=종속회사 청계제약은 계열사인 (주)한국슈넬을 흡수 합병한다고 공시. 합병비율은 1대 0.

△경남기업(000800)= (주)원주기업도시에 342억원 규모의 채무보증을 결정. 경남기업 자기자본의 16.44% 규모.

△해피드림(065180)=최근 현저한 주가급락 관련 조회공시 답변 요구와 관련 당사는 운영자금 확보를 위해 소액공모 유상증자 등을 검토 중에 있으나 현재까지 확정된 바 없다고 밝힘. 이 외에 현저한 시황변동과 관련 별도 공시할 중요한 정보가 없다고 설명함.

△루보(051170)= 주가 하락에 따라 전환가액을 935원에서 901원으로 하향 조정한다고 공시. 조정 후 전환 가능 주식 수는 277만4694주로 증가.

△엑사이엔씨(054940)=200만주의 신주인사권을 행사했다고 공시. 발행주식총수 대비 6.43%, 행사금액은 16억원, 행사가액은 791원임. 상장예정일은 12월 4일.

△동양시멘트(038500)=서울중앙지방법원의 1심 판결에 따라 횡령 및 배임 발생금액이 기존 1376억원에서 25억원으로 변경됐다고 공시.





최정희 (jhid0201@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
