,0
134,(주)디어유
135,(주)디에스앤엘
136,(주)디에스케이
137,(주)디에이테크놀로지
138,(주)디에이피
139,(주)디엔에이링크
140,(주)디엔에프
141,(주)디엠에스
142,(주)디오
143,(주)디와이디
144,(주)디이엔티
145,(주)디지아이
146,(주)디지캡
147,(주)디지털대성
148,(주)디지틀조선일보
149,(주)디케이앤디
150,(주)디케이티
151,(주)디티앤씨
152,(주)딜리
153,(주)딥노이드
154,(주)라닉스
155,(주)라온테크
156,(주)라이온켐텍
157,(주)라이트론
158,(주)라이프시맨틱스
159,(주)라파스
160,(주)래몽래인
161,(주)랩지노믹스
162,(주)러셀
163,(주)레고켐바이오사이언스
164,(주)레드로버
165,(주)레드캡투어
166,(주)레몬
167,(주)레이
168,(주)레이언스
169,(주)레이크머티리얼즈
170,(주)레인보우로보틱스
171,(주)로보로보
172,(주)로보스타
173,(주)로보티즈
174,(주)로지시스
175,(주)루멘스
176,(주)루트로닉
177,(주)룽투코리아
178,(주)리노스
179,(주)리더스코스메틱
180,(주)리드
181,(주)리드코프
182,(주)리메드
183,(주)리파인
184,(주)링네트
185,(주)링크제니시스
186,(주)마니커에프앤지
187,(주)마이더스AI
188,(주)마이크로디지탈
189,(주)마이크로컨텍솔루션
190,(주)마이크로프랜드
191,(주)마인즈랩
192,(주)마크로밀엠브레인
193,(주)마크로젠
194,(주)매직마이크로
195,(주)매커스
196,(주)맥스트
197,(주)머큐리
198,(주)멀티캠퍼스
199,(주)메드팩토
200,(주)메디아나
201,(주)메디콕스
202,(주)메디톡스
203,(주)메디프론디비티
204,(주)메지온
205,(주)메카로
206,(주)메타바이오메드
207,(주)멕아이씨에스
208,(주)멜파스
209,(주)모다이노칩
210,(주)모두투어네트워크
211,(주)모바일리더
212,(주)모베이스
213,(주)모베이스전자
214,(주)모비릭스
215,(주)모비스
216,(주)모아데이타
217,(주)모아텍
218,(주)모헨즈
219,(주)미래생명자원
220,(주)미래컴퍼니
221,(주)미코
222,(주)미코바이오메드
223,(주)미투온
224,(주)민앤지
225,(주)바른손
226,(주)바른손이앤에이
227,(주)바른전자
228,(주)바이넥스
229,(주)바이브컴퍼니
230,(주)바이오니아
231,(주)바이오다인
232,(주)바이오로그디바이스
233,(주)바이오솔루션
234,(주)바이오스마트
235,(주)바이오에프디엔씨
236,(주)바이오톡스텍
237,(주)바텍
238,(주)박셀바이오
239,(주)배럴
240,(주)백금티앤에이
241,(주)버킷스튜디오
242,(주)베노홀딩스
243,(주)베셀
244,(주)베스파
245,(주)보광산업
246,(주)보라티알
247,(주)본느
248,(주)부-스타
249,(주)부방
250,(주)뷰노
251,(주)뷰웍스
252,(주)브랜드엑스코퍼레이션
253,(주)브리지텍
254,(주)브이씨
255,(주)브이원텍
256,(주)브이티지엠피
257,(주)블루베리엔에프티
258,(주)블루콤
259,(주)블리츠웨이
260,(주)비덴트
261,(주)비보존헬스케어
262,(주)비씨월드제약
263,(주)비아트론
264,(주)비에이치
265,(주)비엔지티
266,(주)비엘
267,(주)비엘팜텍
268,(주)비엠티
269,(주)비올
270,(주)비즈니스온커뮤니케이션
271,(주)비츠로셀
272,(주)비츠로시스
273,(주)비츠로테크
274,(주)비케이홀딩스
275,(주)비투엔
276,(주)비트나인
277,(주)비트컴퓨터
278,(주)비피도
279,(주)빅솔론
280,(주)빅텍
281,(주)사람인에이치알
282,(주)삼기
283,(주)삼보판지
284,(주)삼양옵틱스
285,(주)삼에스코리아
286,(주)삼영에스앤씨
287,(주)삼일
288,(주)삼일기업공사
289,(주)삼진
290,(주)삼진엘앤디
291,(주)삼표시멘트
292,(주)삼화네트웍스
293,(주)상보
294,(주)상상인
295,(주)상상인인더스트리
296,(주)상아프론테크
297,(주)상지카일룸
298,(주)새로닉스
299,(주)샘씨엔에스
300,(주)서남
301,(주)서린바이오사이언스
302,(주)서부티엔디
303,(주)서산
304,(주)서연탑메탈
305,(주)서울리거
306,(주)서울옥션
307,(주)서울제약
308,(주)서원인텍
309,(주)서전기전
310,(주)서진시스템
311,(주)서진오토모티브
312,(주)서플러스글로벌
313,(주)서한
314,(주)서희건설
315,(주)석경에이티
316,(주)선광
317,(주)선익시스템
318,(주)성광벤드
319,(주)성도이엔지
320,(주)성우하이텍
321,(주)성창오토텍
322,(주)세경하이테크
323,(주)세동
324,(주)세림비앤지
325,(주)세보엠이씨
326,(주)세아메카닉스
327,(주)세운메디칼
328,(주)세원물산
329,(주)세종메디칼
330,(주)세중
331,(주)세진티에스
332,(주)세코닉스
333,(주)세화피앤씨
334,(주)센코
335,(주)셀레믹스
336,(주)셀루메드
337,(주)셀리드
338,(주)셀리버리
339,(주)셀바스에이아이
340,(주)셀바스헬스케어
341,(주)셀트리온제약
342,(주)셀트리온헬스케어
343,(주)소룩스
344,(주)소리바다
345,(주)소마젠
346,(주)소프트센
347,(주)손오공
348,(주)솔고바이오메디칼
349,(주)솔루에타
350,(주)솔본
351,(주)솔트룩스
352,(주)쇼박스
353,(주)수산아이앤티
354,(주)수젠텍
355,(주)슈프리마
356,(주)슈프리마아이디
357,(주)슈프리마에이치큐
358,(주)슈피겐코리아
359,(주)스맥
360,(주)스카이문스테크놀로지
361,(주)스카이이앤엠
362,(주)스코넥엔터테인먼트
363,(주)스킨앤스킨
364,(주)스타플렉스
365,(주)스튜디오산타클로스엔터테인먼트
366,(주)스페코
367,(주)승일
368,(주)시공테크
369,(주)시너지이노베이션
370,(주)시노펙스
371,(주)시스웍
372,(주)시큐브
373,(주)시티랩스
374,(주)신도기연
375,(주)신진에스엠
376,(주)신테카바이오
377,(주)신화콘텍
378,(주)실리콘투
379,(주)심텍
380,(주)심텍홀딩스
381,(주)싸이맥스
382,(주)싸이버원
383,(주)싸이토젠
384,(주)썸에이지
385,(주)쎄노텍
386,(주)쎄니트
387,(주)쎄트렉아이
388,(주)쎌바이오텍
389,(주)쏠리드
390,(주)씨씨에스충북방송
391,(주)씨앤씨인터내셔널
392,(주)씨앤투스성진
393,(주)씨에스
394,(주)씨에스에이코스믹
395,(주)씨엔알리서치
396,(주)씨엔플러스
397,(주)씨유메디칼시스템
398,(주)씨이랩
399,(주)씨제이이엔엠
400,(주)씨젠
401,(주)씨티씨바이오
402,(주)씨티케이
403,(주)아가방앤컴퍼니
404,(주)아나패스
405,(주)아난티
406,(주)아리온테크놀로지
407,(주)아모그린텍
408,(주)아모센스
409,(주)아모텍
410,(주)아미노로직스
411,(주)아바코
412,(주)아바텍
413,(주)아세아텍
414,(주)아셈스
415,(주)아스타
416,(주)아스트
417,(주)아스플로
418,(주)아시아경제
419,(주)아우딘퓨쳐스
420,(주)아이디스
421,(주)아이디스홀딩스
422,(주)아이비김영
423,(주)아이센스
424,(주)아이스크림에듀
425,(주)아이씨디
426,(주)아이씨케이
427,(주)아이앤씨테크놀로지
428,(주)아이에스시
429,(주)아이에스이커머스
430,(주)아이에이
431,(주)아이엘사이언스
432,(주)아이엠
433,(주)아이엠비씨
434,(주)아이오케이컴퍼니
435,(주)아이윈
436,(주)아이윈플러스
437,(주)아이즈비전
438,(주)아이컴포넌트
439,(주)아이퀘스트
440,(주)아이톡시
441,(주)아이티센
442,(주)아이티아이즈
443,(주)아이티엑스에이아이
444,(주)아이티엠반도체
445,(주)아이패밀리에스씨
446,(주)아즈텍더블유비이
447,(주)아진엑스텍
448,(주)아톤
449,(주)아프리카티비
450,(주)안랩
451,(주)안트로젠
452,(주)알로이스
453,(주)알비더블유
454,(주)알에프세미
455,(주)알에프텍
456,(주)알엔투테크놀로지
457,(주)알체라
458,(주)알테오젠
459,(주)알톤스포츠
460,(주)알티캐스트
461,(주)알파홀딩스
462,(주)압타머사이언스
463,(주)애니플러스
464,(주)애드바이오텍
465,(주)액션스퀘어
466,(주)액토즈소프트
467,(주)액트로
468,(주)앤디포스
469,(주)앤씨앤
470,(주)앱코
471,(주)야스
472,(주)양지사
473,(주)어스앤에어로스페이스
474,(주)얼라인드제네틱스
475,(주)에너토크
476,(주)에디슨이브이
477,(주)에스디생명공학
478,(주)에스디시스템
479,(주)에스비에스콘텐츠허브
480,(주)에스씨디
481,(주)에스아이리소스
482,(주)에스앤더블류
483,(주)에스앤디
484,(주)에스앤에스텍
485,(주)에스에너지
486,(주)에스에스알
487,(주)에스에이엠티
488,(주)에스에이티
489,(주)에스에이티이엔지
490,(주)에스에프에이
491,(주)에스에프에이반도체
492,(주)에스엘바이오닉스
493,(주)에스엠라이프디자인그룹
494,(주)에스엠엔터테인먼트
495,(주)에스엠컬처앤콘텐츠
496,(주)에스엠코어
497,(주)에스제이그룹
498,(주)에스지엔지
499,(주)에스코넥
500,(주)에스텍파마
501,(주)에스티아이
502,(주)에스티오
503,(주)에스티큐브
504,(주)에스폴리텍
505,(주)에스피시스템스
506,(주)에스피지
507,(주)에쎈테크
508,(주)에이디칩스
509,(주)에이디테크놀로지
510,(주)에이루트
511,(주)에이비프로바이오
512,(주)에이스침대
513,(주)에이스테크놀로지
514,(주)에이스토리
515,(주)에이치비테크놀러지
516,(주)에이치시티
517,(주)에이치알에스
518,(주)에이치앤비디자인
519,(주)에이치엘사이언스
520,(주)에이치케이
521,(주)에이치피오
522,(주)에이텍
523,(주)에이텍티앤
524,(주)에이트원
525,(주)에이티세미콘
526,(주)에이팩트
527,(주)에이프로
528,(주)에이프로젠헬스케어앤게임즈
529,(주)에치에프알
530,(주)에코마케팅
531,(주)에코프로
532,(주)에코프로비엠
533,(주)에코프로에이치엔
534,(주)에프알텍
535,(주)에프앤가이드
536,(주)에프앤리퍼블릭
537,(주)에프에스엔
538,(주)에프에스티
539,(주)에프엔씨엔터테인먼트
540,(주)엑사이엔씨
541,(주)엑세스바이오인코퍼레이션
542,(주)엑셈
543,(주)엑시콘
544,(주)엔바이오니아
545,(주)엔비티
546,(주)엔시스
547,(주)엔에스
548,(주)엔에스엔
549,(주)엔에이치엔벅스
550,(주)엔에프씨
551,(주)엔이능률
552,(주)엔젠바이오
553,(주)엔지스테크널러지
554,(주)엔지켐생명과학
555,(주)엔케이맥스
556,(주)엔켐
557,(주)엔텔스
558,(주)엔투텍
559,(주)엔피
560,(주)엔피디
561,(주)엔피케이
562,(주)엘디티
563,(주)엘비루셈
564,(주)엘아이에스
565,(주)엘앤씨바이오
566,(주)엘앤에프
567,(주)엘앤케이바이오메드
568,(주)엘엑스세미콘
569,(주)엘엠에스
570,(주)엘오티베큠
571,(주)엠게임
572,(주)엠로
573,(주)엠아이텍
574,(주)엠에스씨
575,(주)엠에스오토텍
576,(주)엠투아이코퍼레이션
577,(주)엠투엔
578,(주)엠플러스
579,(주)엠피대산
580,(주)연우
581,(주)연이비앤티
582,(주)영림원소프트랩
583,(주)영우디에스피
584,(주)예림당
585,(주)예선테크
586,(주)예스티
587,(주)오공
588,(주)오디텍
589,(주)오로스테크놀로지
590,(주)오르비텍
591,(주)오리엔탈정공
592,(주)오리엔트정공
593,(주)오리콤
594,(주)오비고
595,(주)오스코텍
596,(주)오스테오닉
597,(주)오스템
598,(주)오이솔루션
599,(주)오킨스전자
600,(주)오텍
601,(주)오파스넷
602,(주)오픈베이스
603,(주)오하임아이엔티
604,(주)옵투스제약
605,(주)옵트론텍
606,(주)옵티팜
607,(주)와이더플래닛
608,(주)와이비엠넷
609,(주)와이솔
610,(주)와이어블
611,(주)와이엔텍
612,(주)와이엠텍
613,(주)와이오엠
614,(주)와이제이엠게임즈
615,(주)와이즈버즈
616,(주)와이지-원
617,(주)와이지엔터테인먼트
618,(주)와이티엔
619,(주)와이팜
620,(주)우리기술
621,(주)우리넷
622,(주)우리로
623,(주)우양
624,(주)우정바이오
625,(주)우주일렉트로닉스
626,(주)원바이오젠
627,(주)원방테크
628,(주)원익
629,(주)원익머트리얼즈
630,(주)원익아이피에스
631,(주)원익큐브
632,(주)원익큐엔씨
633,(주)원익피앤이
634,(주)원익홀딩스
635,(주)원일특강
636,(주)원준
637,(주)원티드랩
638,(주)원풍
639,(주)월덱스
640,(주)웨이버스
641,(주)웨이브일렉트로닉스
642,(주)웰크론
643,(주)웰크론한텍
644,(주)웹스
645,(주)웹젠
646,(주)위니아
647,(주)위닉스
648,(주)위드텍
649,(주)위메이드
650,(주)위메이드맥스
651,(주)위메이드플레이
652,(주)위세아이텍
653,(주)위지윅스튜디오
654,(주)위지트
655,(주)윈스
656,(주)윈팩
657,(주)윈하이텍
658,(주)윌링스
659,(주)유니온커뮤니티
660,(주)유니크
661,(주)유니테스트
662,(주)유니테크노
663,(주)유니트론텍
664,(주)유라테크
665,(주)유바이오로직스
666,(주)유비케어
667,(주)유비쿼스
668,(주)유비쿼스홀딩스
669,(주)유성티엔에스
670,(주)유신
671,(주)유씨아이
672,(주)유아이디
673,(주)유에스티
674,(주)유일로보틱스
675,(주)유진로봇
676,(주)유진테크
677,(주)유테크
678,(주)유티아이
679,(주)유틸렉스
680,(주)육일씨엔에쓰
681,(주)율호
682,(주)이건홀딩스
683,(주)이글루코퍼레이션
684,(주)이글벳
685,(주)이노메트리
686,(주)이노와이어리스
687,(주)이노인스트루먼트
688,(주)이노테라피
689,(주)이녹스
690,(주)이녹스첨단소재
691,(주)이라이콤
692,(주)이랜시스
693,(주)이랜텍
694,(주)이루다
695,(주)이루온
696,(주)이미지스테크놀로지
697,(주)이브이수성
698,(주)이브이첨단소재
699,(주)이상네트웍스
700,(주)이수앱지스
701,(주)이스트소프트
702,(주)이씨에스텔레콤
703,(주)이엔드디
704,(주)이엔에프테크놀로지
705,(주)이엔코퍼레이션
706,(주)이엘피
707,(주)이엠넷
708,(주)이엠앤아이
709,(주)이엠텍
710,(주)이오테크닉스
711,(주)이즈미디어
712,(주)이지
713,(주)이지바이오
714,(주)이지트로닉스
715,(주)이지홀딩스
716,(주)이큐셀
717,(주)이크레더블
718,(주)이퓨쳐
719,(주)인바디
720,(주)인산가
721,(주)인성정보
722,(주)인지디스플레이
723,(주)인콘
724,(주)인터로조
725,(주)인터엠
726,(주)인터플렉스
727,(주)인텍플러스
728,(주)인텔리안테크놀로지스
729,(주)인트로메딕
730,(주)인트론바이오테크놀로지
731,(주)인포마크
732,(주)인포바인
733,(주)인피니트헬스케어
734,(주)일승
735,(주)일신바이오베이스
736,(주)일야
737,(주)일지테크
738,(주)일진파워
739,(주)잉크테크
740,(주)자비스
741,(주)자연과환경
742,(주)자이언트스텝
743,(주)장원테크
744,(주)정다운
745,(주)정상제이엘에스
746,(주)정원엔시스
747,(주)제넥신
748,(주)제넨바이오
749,(주)제노레이
750,(주)제노코
751,(주)제노포커스
752,(주)제놀루션
753,(주)제닉
754,(주)제로투세븐
755,(주)제우스
756,(주)제이브이엠
757,(주)제이스텍
758,(주)제이시스메디칼
759,(주)제이앤티씨
760,(주)제이에스티나
761,(주)제이엘케이
762,(주)제이와이피엔터테인먼트
763,(주)제이웨이
764,(주)제이티
765,(주)제이티씨
766,(주)제일바이오
767,(주)제일테크노스
768,(주)제주반도체
769,(주)제테마
770,(주)젠큐릭스
771,(주)젬백스&카엘
772,(주)젬백스링크
773,(주)조이시티
774,(주)좋은사람들
775,(주)중앙디앤엠
776,(주)중앙백신연구소
777,(주)중앙에너비스
778,(주)지노믹트리
779,(주)지놈앤컴퍼니
780,(주)지니뮤직
781,(주)지니틱스
782,(주)지란지교시큐리티
783,(주)지씨셀
784,(주)지아이텍
785,(주)지앤비에스엔지니어링
786,(주)지어소프트
787,(주)지에스이
788,(주)지엔씨에너지
789,(주)지엔코
790,(주)지오엘리먼트
791,(주)지티지웰니스
792,(주)진로발효
793,(주)진매트릭스
794,(주)진바이오텍
795,(주)진성티이씨
796,(주)진시스템
797,(주)차바이오텍
798,(주)차백신연구소
799,(주)창해에탄올
800,(주)천보
801,(주)청담글로벌
802,(주)체리부로
803,(주)초록뱀미디어
804,(주)초록뱀컴퍼니
805,(주)칩스앤미디어
806,(주)카스
807,(주)카이노스메드
808,(주)카카오게임즈
809,(주)캐리소프트
810,(주)캐스텍코리아
811,(주)캠시스
812,(주)컴투스
813,(주)컴투스홀딩스
814,(주)케스피온
815,(주)케어랩스
816,(주)케어젠
817,(주)케이비지
818,(주)케이사인
819,(주)케이씨씨건설
820,(주)케이씨아이
821,(주)케이씨에스
822,(주)케이씨티
823,(주)케이씨피드
824,(주)케이아이엔엑스
825,(주)케이에스피
826,(주)케이에이치바텍
827,(주)케이엔더블유
828,(주)케이엔엔
829,(주)케이엔제이
830,(주)케이엘넷
831,(주)케이엠
832,(주)케이엠더블유
833,(주)케이엠에이치
834,(주)케이엠에이치하이텍
835,(주)케이옥션
836,(주)케이지모빌리언스
837,(주)케이지이니시스
838,(주)케이티서브마린
839,(주)케이티알파
840,(주)케이프
841,(주)케이피에스
842,(주)케이피에프
843,(주)케이피엠테크
844,(주)케이피티유
845,(주)케일럼
846,(주)켐온
847,(주)켐트로닉스
848,(주)켐트로스
849,(주)코다코
850,(주)코데즈컴바인
851,(주)코디
852,(주)코디엠
853,(주)코렌텍
854,(주)코리아나화장품
855,(주)코리아센터
856,(주)코리아에스이
857,(주)코맥스
858,(주)코메론
859,(주)코미코
860,(주)코미팜
861,(주)코세스
862,(주)코센
863,(주)코스나인
864,(주)코스메카코리아
865,(주)코스온
866,(주)코썬바이오
867,(주)코아시아
868,(주)코아시아옵틱스
869,(주)코엔텍
870,(주)코원플레이
871,(주)코윈테크
872,(주)코이즈
873,(주)코콤
874,(주)코텍
875,(주)코퍼스코리아
876,(주)코프라
877,(주)쿠콘
878,(주)퀀타매트릭스
879,(주)큐라클
880,(주)큐로컴
881,(주)큐로홀딩스
882,(주)큐리언트
883,(주)큐브엔터테인먼트
884,(주)큐에스아이
885,(주)크레버스
886,(주)크리스에프앤씨
887,(주)크린앤사이언스
888,(주)클라우드에어
889,(주)클래시스
890,(주)클리노믹스
891,(주)클리오
892,(주)키이스트
893,(주)타이거일렉
894,(주)탑엔지니어링
895,(주)탑코미디어
896,(주)태광
897,(주)태양
898,(주)태웅
899,(주)태웅로직스
900,(주)테라젠이텍스
901,(주)테스
902,(주)테크윙
903,(주)텔레칩스
904,(주)텔레필드
905,(주)텔콘알에프제약
906,(주)토박스코리아
907,(주)토비스
908,(주)토탈소프트뱅크
909,(주)톱텍
910,(주)투비소프트
911,(주)툴젠
912,(주)트루윈
913,(주)트윔
914,(주)특수건설
915,(주)티라유텍
916,(주)티로보틱스
917,(주)티비씨
918,(주)티사이언티픽
919,(주)티씨케이
920,(주)티앤알바이오팹
921,(주)티앤엘
922,(주)티에스넥스젠
923,(주)티에스아이
924,(주)티에스이
925,(주)티에스트릴리온
926,(주)티엘비
927,(주)티엘아이
928,(주)티움바이오
929,(주)티케이케미칼
930,(주)티플랙스
931,(주)티피씨
932,(주)티피씨메카트로닉스
933,(주)파나진
934,(주)파라다이스
935,(주)파라텍
936,(주)파루
937,(주)파마리서치
938,(주)파멥신
939,(주)파버나인
940,(주)파세코
941,(주)파수
942,(주)파워넷
943,(주)파워로직스
944,(주)파이버프로
945,(주)파이오링크
946,(주)파인디앤씨
947,(주)파인디지털
948,(주)파인테크닉스
949,(주)파인텍
950,(주)파커스
951,(주)파크시스템스
952,(주)파트론
953,(주)판타지오
954,(주)팜스빌
955,(주)팜스토리
956,(주)팬스타엔터프라이즈
957,(주)팬엔터테인먼트
958,(주)팬젠
959,(주)펄어비스
960,(주)펩트론
961,(주)포메탈
962,(주)포바이포
963,(주)포스코아이씨티
964,(주)포스코엠텍
965,(주)포시에스
966,(주)포인트모바일
967,(주)포인트엔지니어링
968,(주)포커스에이치엔에스
969,(주)폴라리스세원
970,(주)폴라리스오피스
971,(주)폴라리스우노
972,(주)푸드나무
973,(주)푸드웰
974,(주)푸른기술
975,(주)풍강
976,(주)퓨런티어
977,(주)퓨쳐켐
978,(주)프럼파스트
979,(주)프로스테믹스
980,(주)프로이천
981,(주)프로텍
982,(주)프롬바이오
983,(주)프리엠스
984,(주)플래스크
985,(주)플래티어
986,(주)플랜티넷
987,(주)플레이디
988,(주)플레이위드
989,(주)플리토
990,(주)피델릭스
991,(주)피씨디렉트
992,(주)피에스엠씨
993,(주)피에이치씨
994,(주)피엔에이치테크
995,(주)피엔티
996,(주)피엔풍년
997,(주)피제이메탈
998,(주)피제이전자
999,(주)피코그램
1000,(주)피플바이오
1001,(주)피피아이
1002,(주)픽셀플러스
1003,(주)필옵틱스
1004,(주)핌스
1005,(주)핑거
1006,(주)하나기술
1007,(주)하림
1008,(주)하림지주
1009,(주)하이로닉
1010,(주)하이비젼시스템
1011,(주)하이소닉
1012,(주)하이텍팜
1013,(주)하츠
1014,(주)한국가구
1015,(주)한국경제티브이
1016,(주)한국비엔씨
1017,(주)한국코퍼레이션
1018,(주)한국큐빅
1019,(주)한국테크놀로지
1020,(주)한국파마
1021,(주)한국팩키지
1022,(주)한글과컴퓨터
1023,(주)한네트
1024,(주)한독크린텍
1025,(주)한빛소프트
1026,(주)한송네오텍
1027,(주)한일진공
1028,(주)한창바이오텍
1029,(주)한컴MDS
1030,(주)한컴위드
1031,(주)한탑
1032,(주)해성티피씨
1033,(주)핸디소프트
1034,(주)헬릭스미스
1035,(주)현대공업
1036,(주)현대바이오랜드
1037,(주)현대에버다임
1038,(주)현대이지웰
1039,(주)협진
1040,(주)형지아이앤씨
1041,(주)홈센타홀딩스
1042,(주)홈캐스트
1043,(주)화신정공
1044,(주)휴네시온
1045,(주)휴럼
1046,(주)휴맥스
1047,(주)휴맥스홀딩스
1048,(주)휴먼엔
1049,(주)휴메딕스
1050,(주)휴비츠
1051,(주)휴센텍
1052,(주)휴엠앤씨
1053,(주)휴온스
1054,(주)휴온스글로벌
1055,(주)흥국
1056,(주)흥국에프엔비
1057,(주)희림종합건축사사무소
1058,(주)힘스
1059,KB오토시스(주)
1060,KD(주)
1061,가온미디어(주)
1062,감성코퍼레이션(주)
1063,갤럭시아머니트리(주)
1064,경남스틸(주)
1065,경남제약(주)
1066,경동제약(주)
1067,경창산업(주)
1068,고려신용정보(주)
1069,고려제약(주)
1070,광진실업(주)
1071,국일신동(주)
1072,국일제지(주)
1073,그레이트리치과기유한공사
1074,글로벌에스엠테크리미티드
1075,글로벌텍스프리(주)
1076,글로본(주)
1077,금강철강(주)
1078,나노씨엠에스(주)
1079,나노캠텍(주)
1080,나라엠앤디(주)
1081,나무기술(주)
1082,나이스정보통신(주)
1083,나이스평가정보(주)
1084,남화산업(주)
1085,남화토건(주)
1086,노을(주)
1087,농업회사법인(주)농우바이오
1088,농업회사법인아시아종묘(주)
1089,뉴지랩파마(주)
1090,다믈멀티미디어(주)
1091,대동금속(주)
1092,대동기어(주)
1093,대명에너지(주)
1094,대모엔지니어링(주)
1095,대보마그네틱(주)
1096,대봉엘에스(주)
1097,대신정보통신(주)
1098,대아티아이(주)
1099,대양전기공업(주)
1100,대양제지공업(주)
1101,대원미디어(주)
1102,대원산업(주)
1103,대정화금(주)
1104,대주산업(주)
1105,대주전자재료(주)
1106,대한광통신(주)
1107,대한그린파워(주)
1108,대한뉴팜(주)
1109,대한약품공업(주)
1110,대화제약(주)
1111,더이앤엠(주)
1112,덕산네오룩스(주)
1113,덕산하이메탈(주)
1114,덕우전자(주)
1115,데브시스터즈(주)
1116,도이치모터스(주)
1117,동국산업(주)
1118,동국제약(주)
1119,동신건설(주)
1120,동아화성(주)
1121,동양이엔피(주)
1122,동양파일(주)
1123,동일금속(주)
1124,동일철강(주)
1125,동화기업(주)
1126,디아이티(주)
1127,디엑스앤브이엑스(주)
1128,디와이씨(주)
1129,디와이피엔에프(주)
1130,디젠스(주)
1131,디케이락(주)
1132,라온시큐어(주)
1133,라온피플(주)
1134,램테크놀러지(주)
1135,로스웰인터내셔널유한회사
1136,로체시스템즈(주)
1137,리노공업(주)
1138,마이크로로봇(주)
1139,매일유업(주)
1140,매일홀딩스(주)
1141,메가스터디(주)
1142,메가스터디교육(주)
1143,메가엠디(주)
1144,메디앙스(주)
1145,메디포스트(주)
1146,명성티엔에스(주)
1147,모바일어플라이언스(주)
1148,모트렉스(주)
1149,무림에스피(주)
1150,미디어젠(주)
1151,미래나노텍(주)
1152,미래오토스
1153,미스터블루(주)
1154,미투젠(유)
1155,바디텍메드(주)
1156,바이오플러스(주)
1157,바이온(주)
1158,바이옵트로(주)
1159,바이젠셀(주)
1160,범한퓨얼셀(주)
1161,베뉴지(주)
1162,보성파워텍(주)
1163,브레인즈컴퍼니(주)
1164,브릿지바이오테라퓨틱스(주)
1165,비나텍(주)
1166,비디아이(주)
1167,비비씨(주)
1168,비씨엔씨(주)
1169,비에이치아이(주)
1170,비플라이소프트(주)
1171,빛샘전자(주)
1172,삼강엠앤티(주)
1173,삼륭물산(주)
