,기업,기사발행일,기사제목,뉴스기사본문전처리
139,지유온,2021.06.29. 오전 7:46,[e공시 눈에 띄네] 코스닥-28일, 장 마감 후 주요 공시 슈펙스비앤피에스엠중공업이 제기한 기업매각 절차속행 중지가처분신청 기각결정에 대한 즉시항고장 접수큐리언트상장적격성 실질심사 대상 결정머티리얼즈 지속가능경영보고서 발간에코플라스틱해외영업 강화 및 계열사간 시너지 확대 위해 자회사 코모스 지분 억원 상당에 취득 결정지유온김동은 대표 일신상의 이유로 사임한국정보인증미래테크놀로지 흡수합병 결정운영자금 조달 위해 억원 규모 전환사채 발행 결정유진테크하이닉스와 억원 규모 반도체 제조장비 공급계약 체결남화토건국가철도공단으로부터 억원 규모 호남고속철도단계제공구 건설공사 수주에스퓨얼셀지배기업인 에스에너지에 억원 규모 채무보증 결정디자인운영자금 조달 위해 억원 규모 전환사채 발행 결정대주전자재료창립 주년 상여금 지급 위해 억만원 상당 자사주 처분 결정투비소프트억원 규모 전환사채 발행 결정 남궁현씨에게 억원 규모 제 자배정 유상증자 결정
143,지유온,2021.06.10. 오전 7:20,[e공시 눈에 띄네]코스닥-9일,장 마감 후 주요 공시에코프로자회사 에코프로지이엠 전구체 공장 신설 투자 투자 금액 억원지유온약 억원 규모 제자 배정 증자 결정윈팩억원 규모 전환사채 발행 결정한국제호스팩비상장법인인 디와이씨 흡수합병테크놀로지  반도체 세컨더리 투자조합 억원 규모 출자이선애 기자 .. 속 시원한 풀이 년 정통사주운세토정비결 내가 몰랐던 당신들의 이야기  네이버 투자 성공의 핵심은 기업분석  바로가기경제를 보는 눈 세계를 보는 창 아시아경제 무단전재 배포금지
153,맥스로텍,2021.06.14. 오후 3:25,"맥스로텍, 50억 규모 유상증자 철회 결정", 맥스로텍은 일 이사회 결의에 따라 억원 규모 제자배정 유상증자 철회를 결정했다고 이날 공시했다.이민우 기자 .. 속 시원한 풀이 년 정통사주운세토정비결 내가 몰랐던 당신들의 이야기  네이버 투자 성공의 핵심은 기업분석  바로가기경제를 보는 눈 세계를 보는 창 아시아경제 무단전재 배포금지
155,맥스로텍,2021.05.14. 오후 4:06,"맥스로텍, 서울회생법원에 회생절차 개시 신청", 맥스로텍은 서울회생법원에 일 회생절차 개시를 신청했다고 공시했다.회사 측은 경영정상화와 계속기업으로서의 가치 보전을 위해 회생절차 개시를 신청했다고 설명했다.이은정  시간 빠른 미리보는 뉴스 + 네이버에서 이데일리 뉴스를 만나보세요 빡침해소 청춘뉘우스 스냅타임종합 경제정보 미디어 이데일리  무단전재  재배포 금지
159,맥스로텍,2021.04.08. 오후 6:15,"거래소 “맥스로텍, 상장폐지 관련 이의신청서 접수”", 한국거래소 코스닥시장본부는 맥스로텍이 상장폐지 관련해 일 이의신청서를 제출했다고 이날 공시했다. 이에 거래소는 년 월일까지 개선기간을 부여했다. 개선기간 중에는 매매거래정지가 지속된다.개선기간 종료 후 일 이내에 개선계획 이행내역서 개선계획 이행결과에 대한 전문가의 확인서 등을 제출받고 서류제출일로부터 일 이내에 기업심사위원회를 개최해 주권의 상장폐지 여부를 심의의결할 예정이다.김윤지  시간 빠른 미리보는 뉴스 + 네이버에서 이데일리 뉴스를 만나보세요 빡침해소 청춘뉘우스 스냅타임종합 경제정보 미디어 이데일리  무단전재  재배포 금지
167,맥스로텍,2020.11.23. 오후 1:10,"맥스로텍, 50억 유상증자 결정", 맥스로텍은 헬로우월드엔터테인먼트를 상대로 억원의 유상증자를 추진키로 했다고 일 공시했다. 억원은 운영자금으로 억원은 타법인 증권 취득 자금으로 사용할 예정이다.최정희  시간 빠른 미리보는 뉴스 + 네이버에서 이데일리 뉴스를 만나보세요 빡침해소 청춘뉘우스 스냅타임종합 경제정보 미디어 이데일리  무단전재  재배포 금지
176,맥스로텍,2020.06.30. 오후 6:11,"맥스로텍, 200억원 규모 CB 발행결정 철회", 맥스로텍은 지난 월 일 최초 결의한 억원 규모의 제 회 전환사채권 발행결정을 철회한다고 일 공시했다.회사 측은 인수인의 철회 의사 통보와 이날 이사회 결의를 통해 제회 전환사채 발행 철회를 결정했다고 밝혔다.김윤지 네이버에서 이데일리 구독하기청춘뉘우스 스냅타임종합 경제정보 미디어 이데일리  무단전재  재배포 금지
182,에스제이케이,2021.01.30. 오전 8:31,"[경매브리핑]파산한 에스제이케이 오산 공장, 169억에 팔려",지지옥션 월 마지막주 법원경매 동향 분석수원 디지털엠파이어 경쟁율 대  지난해 말 코스닥 상장사 가운데선 최초로 파산 선고를 받고 상장폐지된 에스제이케이의 오산 건물이 법원 경매에서 감정가보다 낮은 가격에 팔렸다.일 지지옥션의 주간 법원 경매 동향을 보면 경기 오산 가장동에 위치한 이 회사의 공장은 억만원에 낙찰돼 월 마지막주 최고 낙찰가 기록을 썼다. 감정가와 비교하면  수준이다.년 월 준공된 층 규모의 공장동 및 창고 식당 기숙사 기계실 등이 일괄 경매에 부쳐졌다. 가장일반산업단지에 인접해 있고 산업로에 바로 접해 있어 차량 접근성도 용이하다. 기존 소유 법인인 에스제이케이는 자동차 부품 및 전자부품을 제조했으나 경영난을 겪다 지난해 월엔 파산에 이르렀다.지지옥션 관계자는 대형 물건임에도 불구하고 입지 조건과 관리상태 등이 매우 양호해 회차 입찰에 감정가의  수준에 대원물산이 낙찰을 받았다고 전했다.법원 경매에 부쳐진 에스제이케이 오산 공장이번주 최다 응찰자 수 물건은 수원시 영통구 신동 소재 아파트형공장이다. 총 명이 응찰에 참여해 감정가의 .인 억만원에 낙찰됐다.년 월 준공된 디지털엠파이어 내 평 남짓한 개별 호실로 총 층 중 층에 위치해 있다. 수인분당선 망포역 번 출구에서 도보 분 거리에 인접해 있고 망포역 삼거리와 가까워 차량 접근성도 쾌적한 편이다. 물건 인근에 삼성전자 수원사업장을 비롯해 산업시설이 다수 밀집해 있어 아파트형공장 수요 또한 풍부한 편이다.지지옥션 관계자는 일반적으로 국가산업단지 내에 위치한 지식산업센터의 경우 임대가 불가하고 소유자만 영업 행위를 할 수 있지만 본 건의 경우 임대도 가능하다는 점이 많은 응찰자를 끌어 모았다고 분석했다.이번주 법원 경매는 총 건이 진행돼 이 중 건이 낙찰됐다. 낙찰가율은 . 총 낙찰가는 억원이다. 수도권 주거시설은 건이 경매에 부쳐져 이 가운데 건이 낙찰돼 낙찰률은 . 낙찰가율은 .를 기록했다. 서울 아파트는 건이 경매에 부쳐져 이중 건이 낙찰됐고 낙찰가율은 .다.김미영  시간 빠른 미리보는 뉴스 + 네이버에서 이데일리 뉴스를 만나보세요 빡침해소 청춘뉘우스 스냅타임종합 경제정보 미디어 이데일리  무단전재  재배포 금지
184,에스제이케이,2021.03.16. 오후 6:33,"에스제이케이, 서울회생법원에 회생절차 개시 신청", 에스제이케이는 지난 일 나종욱 대표이사 등이 서울회생법원에 회생절차 개시를 신청했다고 일 공시했다.회사 측은 현재 파산선고를 받아 파산 진행중이며 추후 회생절차 개시 여부 등이 결정되거나 변동사항이 발생할 경우 향후 공시하겠다고 설명했다.권효중  시간 빠른 미리보는 뉴스 + 네이버에서 이데일리 뉴스를 만나보세요 빡침해소 청춘뉘우스 스냅타임종합 경제정보 미디어 이데일리  무단전재  재배포 금지
186,에스제이케이,2021.02.25. 오전 11:37,"에스제이케이, 케릭스바이오에 마스크 공급 계약 철회", 에스제이케이는 지난해 월 일 케릭스바이오와 일반 중 부직포 덴탈형 마스크 공급계약을 체결했고 이를 공시했으나 전날 해당 계약이 무효화됐다고 일 공시했다.회사 측은 당사가 마스크공급 계약을 하기 전인 년 월 일에 채권자에 의해 당사에 대한 파산선고 청구가 있었고 이후 년 월 일에 파산선고를 받게 되어 회사의 정상적인 운영이 불가해 공급계약의 진행에도 막대한 차질이 발생했다며 이에 당사는 파산선고에 대한 즉시 항고제기 및 기업회생을 준비하고 있는 바에 케릭스바이오 측과 합의를 통해 공급기간 및 계약조건을 변경하고자 했으나 파산법인의 계약의 변경은 법원의 승인이 있어야 함에 부득이하게 공급계약을 철회했다고 설명했다.고준혁  시간 빠른 미리보는 뉴스 + 네이버에서 이데일리 뉴스를 만나보세요 빡침해소 청춘뉘우스 스냅타임종합 경제정보 미디어 이데일리  무단전재  재배포 금지
188,에스제이케이,2020.12.02. 오후 7:23,‘코스닥 최초 상장 중 파산’ 에스제이케이 “즉각 항고”, 에스제이케이는 서울회생법원의 파산선고에 불복해 원 결정을 취소해달라는 취지의 항고장을 제출했다고 일 공시했다. 앞서 에스제이케이는 지난달 일 코스닥 상장사 중 처음으로 상장 상태에서 법원의 파산 결정을 받았다.조용석  시간 빠른 미리보는 뉴스 + 네이버에서 이데일리 뉴스를 만나보세요 빡침해소 청춘뉘우스 스냅타임종합 경제정보 미디어 이데일리  무단전재  재배포 금지
195,에스제이케이,2020.12.24. 오전 3:59,"1兆 마스크 공급계약, 결국은 허위공시였나", 조원에 육박하는 마스크 공급계약을 내고 최근 주가가 급등했던 코스닥 상장사가 일주일만에 해당 계약을 철회했다. 계약 상대방으로 알려진 회사가 계약을 체결한 적 없다고 밝히면서 허위공시 의혹이 걷잡을 수 없이 커지자 계약 자체를 철회한 것으로 보인다.한국거래소 코스닥시장본부는 일 저녁 시분에 공시번복을 이유로 엘아이에스를 불성실공시법인으로 지정예고했다. 엘아이에스는 지난 일 낸 억원 규모의 공급계약을 이날 철회했다.레이저 장비 등 디스플레이 제조장비를 주로 만드는 코스닥 상장사 엘아이에스는 지난 일 억원 규모의  마스크를 태국 제지업체 더블에이그룹에 공급하는 계약을 체결했다고 공시했다. 공시 전 원선이던 주가는 만원까지 치솟았다. 억원이라는 계약금액에 주가가 뛰었던 것이다.그러다 이날 오전 시분 전일 대비 . 빠진 원에 머문 상태로 주식거래가 정지됐다. 마스크 이슈로 인한 상승분을 모두 반납하고 경고를 받은 셈이다.더블에이가 지난 일 한국지사 홈페이지를 통해 더블에이 더블에이 상표 및 더블에이케어 상표의 모든 제품을 포함한 당사 계열사는 해당 공시 기사와 관련이 없다며 한국의 어떤 회사와도 마스크 공급계약을 하지 않았음을 알린다고 밝혔기 때문이다.더블에이그룹은 년 설립된 태국의 제지업체로 더블라는 브랜드의 복사용지 인쇄용지 업체로 유명하다. 현재 한국을 비롯한 여개국에 더블에이 제품을 공급하는 태국을 대표하는 다국적 기업 중 한 곳이다.이날 저녁 시분이 돼서야 엘아이에스는 이날이 계약금 예정일이었으나 미입금됐다며 이번 계약의 중개업체 관계자 등과 연락이 안돼 진위파악이 되지 않고 있어 공급계약을 철회한다고 공시했다.엘아이에스의 억원 공시 전날부터 주가는 상한가로 치솟았고 이 때문에 공시내용의 사전정보 유출 가능성 등에 대한 의혹이 제기됐다. 공시가 나온 이후에도 엘아이에스의 해당 계약이 진짜인지에 대한 의혹이 역시 네이버 종목토론방 등에서 회자됐다.년 엘아이에스가 설립된 후 올해까지 만 년의 대부분을 레이저 장비 업무에 집중해왔기 때문이다. 올 월 임시주주총회에서 특수직물 제조업 등을 정관상 사업목적에 추가하며 마스크업을 개시하기는 했지만 올 분기 말까지 마스크 사업 관련 매출은 전무하다.오비이락 격일 수 있지만 엘아이에스처럼 마스크 사업 관련 공시를 내고 논란이 제기된 종목들은 종종 눈에 띈다. 화장품 제조 등을 주업으로 하는 코스닥 상장사 스킨앤스킨은 올 월 이피플러스라는 회사에 억원 규모의 선급금을 지급키로 했다는 공시를 낸 바 있다. 덴탈마스크의 국내외 유통사업을 통해 영업이익을 창출하겠다는 게 회사 측이 밝힌 선급금 지급 이유였다.더블에이코리아 홈페이지 캡쳐알고 보니 스킨앤스킨은 억원대 사모펀드 환매중단 사태를 일으킨 옵티머스자산운용 측과 연루됐다는 혐의를 받는 회사였고 스킨앤스킨의 거래 상대방이었던 이피플러스 역시 옵티머스 연루회사라는 공통점이 있었다. 스킨앤스킨은 경영진 횡령배임 의혹 등이 잇따라 불거지며 현재 거래정지 상태로 상장폐지 심의를 받고 있다.년 코스닥시장 개설 이후 상장된 상태로 파산선고를 받은 호 기업인 에스제이케이도 올 월 억원 규모의 덴탈 마스크 공급계약 체결사실을 공시했다. 금액 자체는 커보이지 않았지만 전년도 에스제이케이 전체 매출의 .배 규모였다. 에스제이케이는 파산을 이유로 상장폐지 결정이 내려졌으나 불복소송 절차를 밟고 있다.물론 모든 마스크 관련 계약을 의심할 필요는 없다. 실제 상당 수 기업들이 우수 기술을 바탕으로 마스크 관련 사업을 잘 하고 있다는 평가를 받고 있기 때문이다.예를 들어 톱텍의 경우 디스플레이 등 설비업을 비롯해 나노멤브레인 등에 대한 원천기술을 기반으로 이미 생리대 등 여성용품 시장에서 자리를 잡았다. 톱텍은 올해 월 조달청에 마스크 및 보조물품을 공급한 바 있다.역시 지난 월 조달청과 공급계약을 맺은 케이엠은 원래 정관상 주사업에 의료용품이나 장갑 등 제조업이 있는 데다 올 분기까지 누적 매출 억원 중 에 이르는 억원이 마스크에서 발생했다. 마스크가 주력인 회사였던 것이다황국상 기자 ..부동산 투자는 조 변호사의 가정상담소줄리아 투자노트저작권자  돈이 보이는 리얼타임 뉴스 머니투데이 무단전재 및 재배포 금지
209,에스제이케이,2021.02.26. 오전 5:11,분식회계·가장납입...'개미' 애태우는 문제株 징계는 '뒷북',금감원 사옥 / 사진제공뉴스 터치스크린 모듈 개발업체 트레이스는 년 월 상장폐지됐다. 허위로 매출 억원을 계상하는 등 고의 회계분식 혐의 등의 이유다.당시 금융감독원은 허위 재무제표 제출 혐의로 과징금 만원을 부과했다. 적발된 분식회계 금액의 .수준이다.금융위원회 증권선물위원회의 최종 징계조치는 이로부터 년이 지난 년 월에서야 결정됐다. 증선위는 회사가 이미 상장폐지된 만큼 실효성이 없어 회사에 별도의 조치를 취하지 않는다고 밝혔다.충북방송은 하지도 않은 공사를 진행한 것처럼 꾸미고 이를 회계 처리했다. 년부터 년까지 년간 재무제표를 조작한 것.이 회사는 대주주일가가 년부터 년까지 억원대 횡령혐의로 검찰 고발돼 이미 재판을 받고 심 유죄 판결을 받은 상태였다.금융위는 지난해 월 추가 회계 조작 등의 혐의로 회사에 억원의 과징금 및 전 대표이사를 또다시 검찰 고발했다. 씨씨에스충북방송은 현재 거래 정지로 만명이 넘는 소액주주가 묶여있다.금융당국이 회계부정 신고제 등을 활용해 상장사의 고의 분식회계를 적발하고 있지만 짧게는 년 길게는 년이 지나서야 문제가 수면위로 올라온다.조작된 결산보고서나 감사보고서가 금융감독원 전자공시에 올라와 잘못된 정보로 투자자들이 손해를 보거나 이미 거래정지로 손을 쓸 수 없는 상황이 한참 지나서야 한 발 늦은 조치가 이뤄진다는 지적이다.지난해 금융위와 금융감독원이 재무제표 심사감리 조사 결과를 토대로 징계 등의 조치를 내린 상장사는 개다. 이들 회사는 매출 과대계상 등 재무제표 관련 위반을 저질렀다.증권신고서 허위작성 등 자기자본까지 변하는 중요 위반이 걸려 지적받은 회사는 개에 달한다. 한 회사당 평균 건 이상의 회계기준 위반이 지적됐다.문제는 위반 시점과 징계시점의 간극이 너무 길다는 점이다. 금감원이 중대한 위반혐의 등을 발견해 심사감리에 돌입한다 해도 이를 시장에 공개하지 않는다. 징계안이 증선위로 넘어가 의결을 거치기 전까지 비공개가 원칙이기 때문이다.앞서 언급된 사례 외에도 위장 해외계열사를 재무제표에서 고의로 누락시킨 혐의로 징계를 받은 엘엠에스의 경우 위반 회계연도는 년과 년이다. 징계는 이로부터 년이 지난 년에 결정됐다.관계기업에 투자했다가 입은 손실을 재무제표에 덜 반영하는 등의 수법이 뒤늦게 발각돼 억원의 과징금 처분을 받은 이수화학도 위반 연도는 년부터 년까지다.에스제이케이는 년도 재무제표에서 매출원가 개발비 등을 과대계상하고 억원이 넘는 특수관계자와의 거래도 재무제표에서 누락시킨 혐의다. 년이 지나서야 과징금 억만원 과태료 만원의 처분을 받았다.상황이 이렇다보니 이미 대표이사가 바뀌었거나 이미 상장폐지 수순을 밟고 있어 주식시장에 제 때 경고 장치로 인식되지 않는다는 우려의 목소리도 나온다.증선위 처분 중 하나인 대표이사 해임권고가 유명무실해지고 퇴직자 위법사실 통보라는 솜방망이 처분에 그칠 수 있다는 점에서다. 회사의 정보를 주로 공시에 의존해야 하는 개인 투자자에 대한 보호 장치도 미흡하다는 비판이 나온다.이와관련 금감원은 개별 기업에 대한 조사 착수 정보는 소액주주에 위험성 경고라는 긍정적 측면도 있지만 확실한 조사 결과가 나오기 전까지 주가에 악영향을 미칠 수 있다는 우려도 함께 있어 비공개 원칙이 이어지고 있다고 설명했다.금감원 관계자는 회계분식과 관련해 회사뿐만 아니라 감사인과 회계법인에 대한 과징금 등 조치가 강화해 감사 시스템을 통한 검증 강화 및 기업 품질관리를 높이는 방법이 현재로선 최선이라고 밝혔다.김하늬 기자 ..부동산 투자는 조 변호사의 가정상담소줄리아 투자노트저작권자  돈이 보이는 리얼타임 뉴스 머니투데이 무단전재 및 재배포 금지
210,에스제이케이,2021.02.25. 오전 4:01,수년째 거래정지…속 타들어가는 투자자들,속절없이 길어지는 거래정지 기간에 속이 타들어가는 투자자들이 만명에 육박한 것으로 나타났다.일 금융당국에 따르면 지난해 금융감독원 심사감리 후 증권선물위원회서 징계를 받은 개 상장사 중 곳이 짧게는 개월 길게는 년 넘게 거래가 정지됐다.거래정지 곳상장폐지 대상개선기간효력정지 가처분 인용 무한굴레개 상장사는 년 넘게 거래가 정지된 아래스를 포함해 에스제이케이 뉴프라이드코퍼레이션 이노와이즈 미래 이엠앤아이 지와이커머스 씨씨에스충북방송 등이다. 최근 기준으로 이들 상장사의 소액주주는 만명으로 집계됐다.이들 종목의 거래정지 이유는 파산선고 감사인 의견거절 등 다양했다. 거래정지 기간 동안 회계처리 기준 위반으로 증선위로부터 과징금 철퇴를 맞거나 회사 및 경영진이 검찰에 고발되는 일도 비일비재했다.상장폐지 사유는 쌓여만 가고 한국거래소는 이들 기업에 대해 개선기간을 부여하는 등 거래정지 기간은 속절없이 늘어났다.개선기간이 끝나고서도 회사 측이 상장폐지결정에 대해 제기한 효력정지 가처분신청이 인용되면 또 다시 거래정지 기간이 연장되는 악순환이 계속됐다.가장 최근 거래가 정지된 이노와이즈의 경우 지난해 월일 감사의견거절에 따른 상장폐지 사유가 발생하며 거래가 정지됐다.하지만 회사 측은 같은해 월일 상장폐지에 대한 이의신청을 했고 오는 월일까지 약 년간 개선기간이 부여됐다. 그사이 지난 월일 전 경영진과의 경영권 분쟁까지 이어지면서 상장적격성 실질심사 사유가 추가됐다.최근엔 원포시스 컨소시엄에 회사가 매각되면서 회생절차를 진행하는 등 오르락내리락 하는 경영상황에 투자자들의 시름은 깊어지고 있다.뛰는놈 위에 나는놈제발 죽여달라거래소 전경 / 사진제공뉴스가장 심각한 사례는 기계장비 도매업체 아레스다. 지난 년 월일 전 대표이사의 억만원 규모의 횡령혐의가 발생하면서 시작된 거래정지는 년이 지난 지금까지 이어지고 있다. 코스피코스닥 전체 상장사 중 이렇게 오랜 기간 거래정지가 지속된 기업은 없는 것으로 알려졌다.년 거래소로부터 개월의 개선기간을 부여받았지만 같은해 월엔 유상증자 대금 가장납입 혐의가 발생해 폐지사유가 추가발생했다.년과 년엔 계속기업 존속능력에 대한 불확실성으로 인한 의견거절을 년 연속 받았다. 회사상황이 심각했지만 거래소는 지난 년간 총 개월의 개선기간을 부여하면서 주주들의 고통이 극심해졌다.년엔 거래소의 상장폐지결정에 대한 효력정지 가처분신청이 인용되는 등 기적적으로 회생기회를 찾았지만 지난 년 상장폐지 실질심사 대상 사유에 추가되는 것을 회피할 목적으로 매출을 허위계상한 혐의도 적발돼 증선위로부터 지난해 검찰에 고발조치됐다.거래소는 지난해 월일 기업심사위원회를 개최하고 아래스에 대해 오는 월일까지 개선기간을 부여하기로 또 결정했다.조준영 기자 ..부동산 투자는 조 변호사의 가정상담소줄리아 투자노트저작권자  돈이 보이는 리얼타임 뉴스 머니투데이 무단전재 및 재배포 금지
211,에스제이케이,2021.02.22. 오전 7:23,[e공시 눈에 띄네] 코스닥-19일, 장 마감 후 주요 공시 에이치엔티채무상환 위해 억원 규모 전환사채 발행 결정쎌바이오텍지난해 분기 연결 기준 매출 억원 영업이익 억원 잠정실적 기록경남제약파생상품 금융부채 평가손실 발생. 손실누계잔액 억원골프존뉴딘홀딩스자회사 골프존카운티자산관리 보통주 주당 원 현금배당 결정에스제이케이김도윤 대표 해임 및 나종욱 김민강 각자대표 신규 선임러셀보통주 주당 원 현금배당 결정코리아에프티보통주 주당 원 현금배당 결정이엑스티영농법인성남난생산자조합에 약 억원 년 월일까지 대여삼표시멘트보통주 주당 원 현금배당 결정에이프로젠 모바일게임 포트리스 퍼블리싱 계약 조기 종료나노신소재보통주 주당 원 상환우선주 주당 원 현금배당 결정서희건설화성신남 지역주택조합에 억원 규모 채무보증 결정엔지스테크널러지억원 상당 전환사채권 처분 결정에스디시스템한국거래소로부터 상장적격성 실질심사 대상 결정에스에너지보통주 주당 원 현금배당 결정위니아딤채상장적격성 실실심사 대상 제외 결정에 일부터 주권매매거래정지 해제더블유에프엠에스제이더블유인터내셔널로부터 억원에 시험영어 사업부문 양수 결정지더블유바이텍운영자금 조달 위해 억원 규모 전환사채 발행 억원 규모 유상증자 결정레드로버유상증자 결정 철회로 한국거래소로부터 불성실공시법인 지정 예고휴맥스타법인 주식 및 출자증권 취득결정 철회로 한국거래소로부터 불성실공시법인 지정 예고이민우 기자 .. 년 신축년 신년운세와 토정비결은 발 빠른 최신 뉴스 네이버 메인에서 바로 보기 정치 민심 여론조사 기사 모아보기경제를 보는 눈 세계를 보는 창 아시아경제 무단전재 배포금지
218,에스제이케이,2020.12.03. 오전 8:02,[e 공시 눈에 띄네]코스닥-2일,장 마감 후 주요공시에스제이케이파산선고에 대한 항고장 접수엑스큐어정우천 신임 대표이사 선임키네마스터최대주주 경영권 매각 추진중케이씨티농협조합에  담합 배상금 억 지급우리기술투자억원 규모 자사주 처분오주연 기자 .. 년 신축년 신년운세와 토정비결은 발 빠른 최신 뉴스 네이버 메인에서 바로 보기 요즘 트렌드 모아보고 싶을 땐 드링킷경제를 보는 눈 세계를 보는 창 아시아경제 무단전재 배포금지
220,에스제이케이,2020.12.01. 오전 7:43,[e공시 눈에 띄네] 코스닥-11월30일, 장 마감 후 주요 공시 멕아이씨에스폴란드     사와 각 억원 규모 인공호흡기 공급계약에이치엔티서울회생법원으로부터 회생계획 인가제닉박철홍 대표이사 사임으로 박소은 허남 공동 대표이사 선임동원개발 양덕구역 주택재개발정비사업조합으로부터 억원 규모 계약 해지 통보스튜디오산타클로스억원 규모 상상벤처스 주식 만주 처분 결정크리스탈신소재중국 자회사 장쑤탄구얼웨이스지에과기유한공사 억원 상당 그래핀원료 양산 생산라인 장비 취득 결정쌍용정보통신콤텍정보통신 주식 만주 억원 상당에 취득 결정바른손넷플릭스와 콘텐츠 편 공급계약 체결지엘팜텍케이씨에서 이상제일호사모투자 합자회사로 최대주주 변경메디프론에스제이코레 주식 만주 억원에 양수 결정디지탈옵틱운영자금 조달 위해 억원 규모 유상증자 결정한송네오텍형남신 외 인에서 시너웍스로 최대주주 변경대성미생물조달청과 억원 규모 구제역 백신 공급 계약에스제이케이서울회생법원으로부터 파산 선고이민우 기자 .. 년 신축년 신년운세와 토정비결은 발 빠른 최신 뉴스 네이버 메인에서 바로 보기 요즘 트렌드 모아보고 싶을 땐 드링킷경제를 보는 눈 세계를 보는 창 아시아경제 무단전재 배포금지
243,디에스티,2021.04.16. 오후 5:23,"디에스티, 60억원 규모 유상증자 결정", 디에스티는 운영자금 억원을 조달하기 위해 제자배정증자 방식의 유상증자를 결정했다고 일 공시했다.이에 따라 보통주 만주가 신주 발행된다. 납입일은 년 월 일이다. 신주의 상장 예정일은 년 월 일이다. 대상자는 이춘명 산레모코퍼레이션이다. 회사 측은 금번 유상증자의 납입이 완료될 경우 최대주주 등이 한강홀딩스에서 이춘명으로 변경될 예정이라고 밝혔다.김윤지  시간 빠른 미리보는 뉴스 + 네이버에서 이데일리 뉴스를 만나보세요 빡침해소 청춘뉘우스 스냅타임종합 경제정보 미디어 이데일리  무단전재  재배포 금지
245,디에스티,2021.03.30. 오후 2:29,"디에스티, 17억원 규모 CB 발행 결정", 디에스티는 운영자금 억원과 채무상환자금 억원 등 총 억원 조달을 위해 무기명식 무보증 사모 전환사채 발행을 결정했다고 일 공시했다. 표면이자율과 만기이자율은 각각  다. 사채만기일은 년 월 일이다. 전환가액은 원이다. 전환에 따라 발행할 주식의 주식총수 대비 비율은 .다. 전환청구기간은 년 월일부터 년 월일까지다. 대상자는 산레모코퍼레이션 황선우 곽상은 곽희석이다.김윤지  시간 빠른 미리보는 뉴스 + 네이버에서 이데일리 뉴스를 만나보세요 빡침해소 청춘뉘우스 스냅타임종합 경제정보 미디어 이데일리  무단전재  재배포 금지
247,디에스티,2021.03.17. 오후 2:32,"디에스티, 21억 규모 제3자배정 유상증자 결정", 디에스티는 채무상환자금 조달을 위해 억만원 규모의 제자배정 유상증자를 결정했다고 일 공시했다.보통주 만주가 신주 발행되며 신주 발행가액은 원이다.신주 상장 예정일은 월 일이다..환경적 대화기구 헤럴드에코밀리터리 전문 콘텐츠 헤밀헤럴드경제 네이버 채널 구독   헤럴드경제  . 무단 전재 및 재배포 금지 
248,디에스티,2020.12.23. 오후 12:51,"디에스티, 55.7억원 단기차입금 증가 결정", 디에스티는 부동산 담보 대출을 통한 운영자금 마련을 위해 억만원 규모 단기 차입을 결정했다고 일 공시했다. 이는 자기자본대비 . 규모다.유준하  시간 빠른 미리보는 뉴스 + 네이버에서 이데일리 뉴스를 만나보세요 빡침해소 청춘뉘우스 스냅타임종합 경제정보 미디어 이데일리  무단전재  재배포 금지
250,디에스티,2020.07.10. 오후 4:23,"디에스티, 특별관계자 지분변동",디에스티는 상상인플러스저축은행 및 특별관계자의 지분율이 .에서 .로 변동했다고 일 공시했다. 한편 디에스티는 거래정지 상태이다.공시 전문으로 이동 주식등의 대량보유상황보고서는 특수관계인을 포함한 개인이나 법인이 상장회사 지분을 이상 보유하게 될 경우에 일 이내 발표하는 지분공시다. 일명 룰이라고도 불리며 주식을 추가로 매입하거나 매각해  이상의 지분변동이 생겨도 일 이내에 공시해야 한다.스톡봇 기자 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 스톡봇이 금융감독원 전자공시시스템과 한국거래소 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다. 네이버에서 국민일보를 구독하세요 국민일보 홈페이지 바로가기   국민일보 무단전재 및 재배포금지
