,0
10,"Signal Entertainment Group made a public announcement that the company's delay in submitting data has delayed the submission of audit reports.According to the Enforcement Decree of the External Audit Act, an external auditor must submit an audit report to the company a week before the regular general meeting. Ai had to submit an audit report by Sunday as she was set to hold a regular shareholders' meeting.Kang Ki-joon: Real-time News Money Today, where the copyright holder's money can be seen, cannot be reproduced or redistributed without permission"
11,"Signal Entertainment Group is strong for two consecutive days.Signal Entertainment is currently in the KOSDAQ market as of Sunday morning, compared to the previous day.It is trading at a higher won.It is interpreted that it was influenced by the news that it signed a program joint development contract with Bernim Murray Productions, a leading program production company in the United States. On the previous day, Signal Entertainment also completed a one-on-one deal compared to the previous day. Last month, the upper limit was also set on the news of resolving the risk of audit reports.Reporter Song Jong Ho. The winner of the rose war is...All the series of the Seoul economy... Copyright holders in Seogyeong are prohibited from reproducing and redistributing the Seoul economy without permission"
12,"As a result of the internal settlement of the Signal Entertainment Group, operating losses occurred in the recent business year on a separate basis, resulting in management items or reasons for delisting.A billion won contract was signed to supply fire engines and fire equipment including refractive fire trucks to Everdaim Vietnam.Adjustment of the exercise price of the new stock right from KRW to KRW in accordance with the Hysonic right."
13,"Signal Entertainment Group announced one day that as a result of internal settlement, operating losses occurred in the recent business year on a separate basis, resulting in management items or reasons for delisting.In addition, during the recent business year, business losses before corporate tax expenses exceeding equity capital occurred in the business year, and business losses before corporate tax expenses were incurred in the recent business year.Reporter Lee Jae-won: Real-time News Money Today, where copyright holders can see money, cannot be reproduced or redistributed without permission"
14,"Signal Entertainment Group said it has signed a joint program development contract with Bernim Murray Productions, a leading U.S. program producer in Japan.Bernim Murray Productions is an American production company famous for producing innovative programs such as the reality program Real World, which is currently airing the season, Simple Life starring Paris Hilton, and Project Runway, which was remade in Korea.Through this contract, the two companies will expand their base in the rapidly growing Asian market through strategic cooperation as well as creative ideas exchange to develop new formats as well as existing programs. The program, jointly produced by the two companies, is distributed worldwide by Bunim Murray's parent company, Banijay Group, except for Korea and China.""With technology development and the emergence of new platforms, the contract will be an important turning point in the Asian market,"" said CEO Kim Sang-sang, adding, ""We are confident that the two companies will expand their markets to various regions through creative exchange of ideas.""Gil Goldshine, chairman of Bernim Murray Productions, also said, ""Asia partner Signal is a creative producer who knows the global content market well, and we are happy to have the opportunity to promote our content and bring Korean content into the U.S. market.""Meanwhile, Signal has been producing more than one entertainment program, including ""I can see your voice"" by asking for a refrigerator, and recently, it has expanded its business area to produce dramas such as ""Defendant's Secret Forest."" Kang Jae-woong's story about everything in the world, ""Pas"" is an entertainment news star, copyright holder, and financial news. No unauthorized re-distribution"
15,"A stock-talking individual asset man invested KRW 100 million in convertible bonds of Signal Entertainment Group, but unexpectedly rose to the status of the largest shareholder. This is due to the weak management stake structure in which the largest shareholder changes only with a single share because there are no shareholders holding large-scale shares.Signal Entertainment, a KOSDAQ-listed company, announced on the last day that its largest shareholder has been changed from Asia Limited to Kim Nam-hee, a resident of Jeju.Signal Entertainment is a popular drama production company, including entertainment programs such as Mnet, ""I Can See Your Voice"" and ""Please Take Care of the Refrigerator,"" and the defendant, ""Ode."" Actor Song Seung-heon and actress Lee Mi-yeon and Kim Hyun-joo are also affiliates. The market capitalization based on won per share, the closing price of the previous day, is 100 million won.Kim claimed 100 million won worth of ordinary shares on the last day and secured Manchuria. It is more than the previous largest shareholder, Asia Limited. The conversion value is KRW per share. The company said it understands that Kim is a general individual investor and has no purpose to participate in management.This is the second time this year that Signal Entertainment has changed its largest shareholder. Until early this year, the largest shareholder was SG Investment Korea. However, it handed over its largest shareholder status to Asia Limited last month when it forcibly disposed of its shares due to the creditor's execution of collateral rights.As the largest shareholder has changed twice in three months, the issue of management instability following worsening financial soundness is also under fire.The company has been steadily making operating losses since the year it began preparing consolidated financial statements. Last year, it posted sales of 100 million won and operating losses of 100 million won. The net loss amounted to a hundred million won. A company official said, ""We are looking for overseas investors to secure investment funds, saying, ""We are aware of shareholders' anxiety caused by frequent fluctuations in the largest shareholders and worsening financial stability.""Reporter Hong Yoon-jung: The Korean economy. No unauthorized reproduction or redistribution"
16,"Signal Entertainment Group announced that it will normalize its management by issuing convertible bonds and deciding on reduction.Signal Entertainment said in a press release, ""We accept the recent minority shareholder movement, such as the call for an extraordinary general meeting of shareholders, as affection for the company, and we are doing our best to meet expectations right away.""The company explained that although it is true that the stock price rise is limited due to the designation of management items according to the performance of the business year, it is difficult to regard it as a drop in stock prices due to the issuance of convertible bonds or decision to reduce capital.""The company needs stable sales and business funds to achieve operating profit due to poor performance,"" he said, adding, ""The government has no choice but to reduce capital due to excessive capital erosion and maintain a stable financial structure.""According to the individual financial statements in the semi-annual report, the company expressed a quarterly operating profit surplus and stressed that it would do its best to break away from the post-potato management category by succeeding in a turn-around.Signal Entertainment said it will also improve its financial structure by selling its assets. The company said it will sell unlisted stocks that are less related to entertainment and cash in on convertible bonds, which account for most of the debts, as investors are friendly with the company, so the total amount of real debt is low and the risk of debt repayment is minimal.He added that the company is also planning to maximize shareholder value due to the recent fall in stock prices, and that Investment, the largest shareholder, is also expected to increase its stake to stabilize management rights.Column deep investment information free cartoon enjoy gift type car racing girl reporter kim gunwoo..Real-time News Money Today, where copyright holders' money is visible, cannot be reproduced or redistributed without permission"
17,Signal Entertainment Group made a public announcement that it has appointed a new outside director Lee Ye-koo.Reporter Park Nayoung... Yang Nak-gyu's characteristic of today's world-viewing the creative economy of today's world-no distribution of unauthorized war on the Asian economy
18,"Signal Entertainment Group said its largest shareholder, El Investment, has acquired 10,000 shares in the market.As a result, L Investment's shares in Signal Entertainment have increased from Manchuria to Manchuria.Signal Entertainment said, ""The acquisition of the largest shareholder's stake in the market is expected to be the starting point for stabilizing the management rights of Signal Entertainment,"" adding, ""We expect further expansion along with improved performance.""Meanwhile, Signal Entertainment has been designated as a management item due to the occurrence of operating losses for consecutive years until the last business year. Kang Jae-woong's story about everything in the world, ""Pas"" is an entertainment news star, copyright holder, and financial news. No unauthorized re-distribution"
19,"Signal Entertainment Group made a public announcement that its largest shareholder has been changed from Kim Nam-hee to El Investment in response to the request for conversion of convertible bonds. El Investment has a stake of .Chae Sun-hee, a reporter for Hankyung Dotcom, said, ""Korea's economy is prohibited from unauthorized propagation and redistribution"
20,"Signal Entertainment Group is plunging on the news of the decision to cut potatoes.As of Sunday morning, the share price of Signal Entertainment was higher than the previous trading day. It is trading at the lower won.The company said in a public announcement on the last day that it has decided to merge common shareholders mainly for free. The number of shares decreases from 10,000 to 10,000. A company official explained that a decision to reduce stocks this year is inevitable due to a large deficit in the process of reducing insolvency last year.Yoon Pil-ho's Heart-throbbing Star Photo Shooter | Making Friends Comprehensive Economic Information Media E-Daily Prohibition of Unauthorized Redistribution"
21,"Signal Entertainment Group announced in a public announcement that it will push for a reduction in the number of registered common shareholders of par value won to be merged into common shareholders of the same par value for free to improve their financial structure.After the reduction, the capital decreases from 100 million won to 100 million won.Reporter Yujuhee. Korea's best scientist since the year, all series of Seoul economy... Copyright holders in Seogyeong are prohibited from reproducing and redistributing the Seoul economy without permission"
22,"Signal Entertainment Group said on the same day that additional sponsorship inquiries are continuing with the high ratings of the weekend drama ""Secret Forest"" being produced.According to Ilson Korea, the ""Secret Forest"" aired last day recorded an average of .An official from Signal Entertainment said, ""The performances are loved by viewers for their solid acting and unpredictable development,"" adding, ""We are also feeling the popularity of Signal Entertainment, which signed a contract with writer Lee Soo-yeon, with additional sponsorship and inquiries about new works.""The official added, ""The big rise is expected to continue as it is being broadcasted amid favorable reviews for its unforced reversal and development in line with the situation."" Reporter Kim Gunwoo...Real-time News Money Today, where copyright holders' money is visible, cannot be reproduced or redistributed without permission"
23,"Signal Entertainment Group made a public announcement that as a result of an internal audit, operating losses occurred in the recent business year on a separate basis, resulting in reasons for designating management items.In this regard, the Korea Exchange explained that as a result of internal settlement, more than 100 million won was lost before deducting corporate tax costs exceeding equity capital in the recent business year.In addition, the KOSDAQ market headquarters of the exchange said it will suspend stock trading until after-hours trading before the start of the market due to the occurrence of reasons for designation of management items.Yoon Pil-ho's Comprehensive Economic Information Media E-Daily Prohibition of Unauthorized Redistribution"
24,"Signal Entertainment Group, a KOSDAQ-listed reporter Yoo Hyun-min, announced in a public announcement that it has decided to raise capital by a general public offering to raise 100 million won in operating funds.The new shares issued are 10,000 common shares and the issuance price of new shares is KRW per share.The expected subscription date is next month.the latest fad trend rally"
25,"Herald Business & Securities Team Signal Entertainment Group announced in a public announcement that its largest shareholder in Japan has been changed from Kim Nam-hee to El Investment. The number of shares owned by El Investment is Manchuria. The company said it was a change in shareholders due to the request for conversion of convertible bonds. For the purpose of equity acquisition, the method of financing the acquisition of management participation was disclosed as a loan.Inspiration is a story that will set fire to flame. Making friends with young economic newspapers Today's fortune weather Herald economy. No unauthorized reproduction and redistribution"
26,"The KOSDAQ Market Headquarters of the Korea Exchange, a reporter for Seoul Newsis Kim Joo-ah, announced on the 1st that it will designate Signal Entertainment Group as an unfaithful disclosure corporation on the grounds that it reversed the disclosure of the withdrawal of the paid-in capital increase decision.The KOSDAQ market headquarters added that the penalty point is .00 and the penalty for violating the disclosure will be replaced by 10,000 won.See you at Newsis News Naver News StandNewsis Copyright Sympathy Press Newsis News Agency. No unauthorized re-distribution."
27,"The Korea Exchange announced that it will announce the designation of an unfaithful disclosure corporation by delaying the signing of a stock collateral offer contract involving a change in its largest shareholder.Reporter Kim Customs...Real-time News Money Today, where copyright holders' money is visible, cannot be reproduced or redistributed without permission"
28,"This article was posted on the Hyenan Market Insight of the capital market on MondayWoosung Ivy, a KOSDAQ-listed company that suspended stock trading due to reasons for delisting, attracted KRW 100 million in investment. It is observed that the possibility of escaping the crisis of delisting has increased.Woosung Ivy held a board meeting and decided to issue 10,000 new shares. The issuance price per share is KRW, which is about KRW 100 million in total. The payment date is on the month and the new shares are listed on the same month. K-Value & Partners will receive all new shares.Analysts say that as Woosung Ivy secures liquidity, it is more likely to escape the crisis of delisting. The company has been suspended from trading stocks since last month due to reasons for delisting. This is because the audit opinion was rejected by external auditors due to uncertainty about their ability to survive as a continuing company. Since then, the company has filed an objection, and the KOSDAQ market headquarters has given an improvement period until this month.An official from Woosung Ivy said, ""A re-audit of the fiscal year is underway,"" and expected that the company's operation will be breathed out because it has secured liquidity.Woosung Ivy is a water leisure and sports boat manufacturer established in the year. CEO Lee Hee-jae, the largest shareholder, founded the company.Reporter Kim Byung-geun: The Korean economy. No unauthorized propagation or redistribution"
29,"The KOSDAQ Market Headquarters of the Korea Exchange announced that it will hold a corporate review committee for Woosung Ivy by the coming day to deliberate on whether to delist it and decide whether to delist it within days from the deliberation date.The exchange explained that the company announced on last month that auditors' audit opinions on last year's financial statements were rejected due to uncertainty over the company's viability, and notified that a confirmation on the reason could not be issued.Accordingly, the exchange also announced that the suspension period of stock trading for Woosung Ivy will be changed to the expiration date of the objection period to delisting or the decision date on delisting.The reason why the average annual salary of 500 million doctors is going on strike is because of the fashion code blockchain page open back index reporter who went to Pyongyang from departure to return home.Real-time News Money Today, where copyright holders' money is visible, cannot be reproduced or redistributed without permission"
30,"Woosung Ivy made a public announcement that it acquired the company's registered private equity convertible bonds before maturity through over-the-counter purchases.The acquisition amount is 100 million won, including interest. Woosung Ivy said, ""The decision is based on the bondholders' request for early repayment,"" adding, ""We plan to incinerate the strategy after acquisition.""Starbucks' first cashless store in Korea, police release Uber self-driving car death video, receive gifts, and show real-time news Money Today's unauthorized reproduction and redistribution of money from Yang Sung-hee, a reporter, copyright holder"
31,"The Korea Exchange announced that Woosung Ivy, which caused the reason for delisting due to the rejection of the opinions of external auditors, submitted an objection. The exchange plans to hold a corporate review committee before next month to deliberate on whether to delist.Reporter Wandara... Check out the Asian Economy News on Naver Home Yang Nak-gyu's military story Asia Economy Facebook Watch the world Chang economy Don't distribute Asian economy without permission"
32,"Woosung Ivy as of Sunday morning. It is traded at the right won and has a buying advantage. The trading volume was 100 million won, and the trading volume turnover rate was .Over the past month, Woosung Ivy has recorded an upward slide and its stock price return is . The standard deviation was recorded as... During this period, the average stock price return in other manufacturing industries was . and the volatility was .As of this time, other manufacturing industries are on the rise and have a selling advantage.Seokyoung Newsbot. Check out the stock market price in Seoul Economy Blockchain's Everything: No Reproduction or Redistribution of Seoul Economy Copyright Holder"
33,"Woosung Ivy as of Sunday morning. It is traded at the right won and has a buying advantage. The trading volume was 100 million won, and the trading volume turnover rate was .Over the past month, Woosung Ivy has recorded an upward slide and its stock price return is . The standard deviation was recorded as... During this period, the average stock price return in other manufacturing industries was . and the volatility was .As of this time, other manufacturing industries are on the rise and have a buying advantage.Seokyoung Newsbot. Check out the stock market price in Seoul Economy Blockchain's Everything: No Reproduction or Redistribution of Seoul Economy Copyright Holder"
34,"Currently, Woosung Ivy has risen from the previous day, and transactions are taking place in the original line.Net selling by foreign investors in a row Recently, foreign investors in the same category for the same day bought a net stock, and institutions bought a net stock. On the previous day, each of the two players bought a net shareholder and increased their holding ratio.The following table shows the daily net purchases of foreign institutions in the same category.Individual net buyers of foreign institutions bought the same stocks for consecutive trading days from the month of net selling to the previous day. On a weekly basis, after foreigners bought a net stock in the beginning, they continued to buy stocks, and institutions also bought stocks in a directional manner. On the other hand, individuals turned to selling and net selling of stocks. is a real-time article produced by robot reporters in collaboration with securities firm Thinkpool and Financial News. All the stories in the world, ""Pas,"" are shown in entertainment news, star copyright holders, and Financial News. No unauthorized re-distribution"
35,"As of Sunday afternoon, Woosung Ivy. It is traded at the right won and has a buying advantage. The trading volume was 100 million won, and the trading volume turnover rate was .Over the past month, Woosung Ivy has recorded an upward slide and its stock price return is . The standard deviation was recorded as... During this period, the average stock price return in other manufacturing industries was . and the volatility was .As of this time, other manufacturing industries are on the rise and have a buying advantage.Seokyoung Newsbot. Check out the stock market price in Seoul Economy Blockchain's Everything: No Reproduction or Redistribution of Seoul Economy Copyright Holder"
36,"Woosung Ivy as of Sunday morning. It is traded at the right won and has a buying advantage. The trading volume was 100 million won, and the trading volume turnover rate was .Over the past month, Woosung Ivy has recorded an upward slide and its stock price return is . The standard deviation was recorded as... During this period, the average stock price return in other manufacturing industries was . and the volatility was .As of this time, other manufacturing industries are on the rise and have a selling advantage.Seokyoung Newsbot. Check out the stock market price in Seoul Economy Blockchain's Everything: No Reproduction or Redistribution of Seoul Economy Copyright Holder"
37,"The Ministry of Culture, Sports and Tourism announced that Woosung Ivy, a producer of air-injection boats at the Korea Sports Industry Awards, has selected Woosung Ivy, a producer of air-injection boats, as the winner of the Korea Sports Industry Awards.Woosung Ivy, which receives a presidential citation, exported $10 million last year, accounting for its global market share for air-injected surfboards.The Ministry of Culture, Sports and Tourism said that Woosung Ivy not only contributed to expanding the size of the sports industry by exploring overseas markets, but also made efforts to provide convenience facilities for employees and create a pleasant working environment.In addition, the Prime Minister's Commendation Award was selected as the Grand Prize, which presented a new area of the sports industry through Sports Monster, a new concept theme park that combines sports and information technology.The Excellence Award went to the Comart System.In addition, Gimcheon-si, Gyeongsangbuk-do, which attracted women's professional volleyball teams and revitalized tennis competitions, and Ulsan Hyundai Football Team, which reached an average annual increase in paid spectators, became the winners of the Excellence Local Government Award and the Excellence Professional Sports Award, respectively.The awards ceremony will be held at the Olympic Parktel in Seoul on Sunday morning.A collection of the latest trends for article reports and inquiries"
38,"Woosung Ivy made a public announcement that it has decided to dispose of its shares for 100 million won with the aim of securing liquidity to diversify its business.It will be sold through the market from the coming day to the month.Reporter Kwon Seong-hoe... Yang Nak-gyu's military story on Asian economy, Facebook, Chang economy, and the world are not allowed to distribute unauthorized distribution of Asian economy"
39,"Stock prices continue to fall behind on the back of net selling by institutions and foreign investors. Woosung Ivy, which recorded net selling for a straight day until yesterday, has been weak today as it recorded a won-down.From Monday to the previous day, institutions and foreigners sold net together for a consecutive trading day. As a result of analyzing Woosung Ivy's turnover rate over the past month, it was found that the owner of the stock has changed frequently. If the rotation rate is high, liquidity can be said to be good, but in this case, caution is required as stock price fluctuations are often severe. In the case of the same item, the average daily stock price fluctuation rate during the same period was .In addition, the recent share of daily transactions showed the most active participation, with individuals accounting for . of the total transaction volume, while foreigners and institutions showed .Based on the recent fluctuations in stock prices, the bullish pattern is maintained, and the trading volume index shows overheating due to excessive buying.Looking at investor sentiment, investors maintain proper sentiment, and analyzing the arrangement of moving averages shows short-term adjustments, but they are attempting to change the trend in the medium term.As of this time, among related stocks, the number of falling stocks is higher, while other manufacturing industries are falling.SNP World One Sono Park Seoul Leaguer One DBK One stock market analysis specialist robot.It's written by Robots, an e-newspaper and Thinkpool stock market analyst E-newspaper Popular Post-newspaper Official Facebook E-newspaper Shortcut"
40,"Woosung Ivy's current stock price is compared to the previous day. Trading is taking place in the upward trend.Individual net buyers of foreign institutions showed net purchases for consecutive trading days from the month of net selling to the previous day. On a weekly basis, after foreigners bought a net stock in the beginning, they continued to buy stocks, and institutions also bought stocks in a directional manner. On the other hand, individuals were found to have sold stocks net, setting a direction toward selling.Individuals are the most active in trading by individual investors in the past month, looking at the proportion of transactions by subject. It was found that foreigners and institutions recorded . And recently, the proportion of daily transactions was the highest for individuals, followed by foreigners. The agency does not appear to have participated in the transaction, which is a real-time production by robot reporters in collaboration with Thinkpool, a securities company, and Financial News. All the stories in the world, ""Pas,"" are shown in entertainment news, star copyright holders, and Financial News. No unauthorized re-distribution"
41,"Currently, Woosung Ivy has risen from the previous day, and transactions are taking place in the original line.Individual investors had the highest transaction share, and in the past month, individuals accounted for . of the total transaction volume, showing the most active participation, while foreigners and institutions showed . And the recent daily trading share is individuals. foreigners and institutions have recorded thatThe trading volume compared to the number of listed stocks is appropriate. Comparing the trading volume compared to the number of listed stocks of Woosung Ivy over the past month, the daily trading turnover rate was calculated as . And the average daily stock price fluctuation rate, which is the difference between the low and high points during the same period, is an article produced by robot reporters in real time through a collaboration between Thinkpool, a securities company, and Financial News. All the stories in the world, ""Pas,"" are shown in entertainment news, star copyright holders, and Financial News. No unauthorized re-distribution"
42,"Woosung Ivy announced that the number of shares held by related parties, including Ilju Zaigle Co., Ltd., has increased. This increased by weeks from the previous reporting date, and the stake rose to . The reason for the report is known to be the acquisition of shares.Changes in shares of the largest shareholder and related parties are factors that affect stock prices. In particular, if the holding ratio is continuously increased or decreased, it is necessary to pay attention when investing in the stock.The following are the changes in Woosung Ivy's shares and the details of its holdings.A reporter robot specializing in stock market analysis.It's written by Robots, an e-newspaper and Thinkpool stock market analyst E-newspaper Popular Post-newspaper Official Facebook E-newspaper Shortcut"
43,"Woosung Ivy made a public announcement that it will sell its factory and land in Hyosung-dong, Gyeyang-gu, Incheon, for billions of won to Sungwan Construction. The transfer base date is the coming month.Woosung Ivy said, ""The sale amount is equivalent to the total amount of assets,"" adding, ""We will improve the financial structure by repaying loans from financial institutions.""Oh Jeong-min, a reporter for Hankyung Dotcom, said, ""Korea's economy is prohibited from unauthorized propagation and redistribution"
