,0
10,프리엠스는 보통주당 원의 현금결산배당을 실시하기로 했다고 일 공시했다. 시가배당률은 . 배당금총액은 억만원이다.프리엠스는 지난해 영업이익이 전년대비 . 증가한 억만원을 달성했다고 일 공시했다. 매출액은 . 늘어난 억만원을 당기순이익은 . 늘어난 억만원으로 나타났다.플렉스컴은 신주인수권부사채 발행 추진설에 대해 시설자금 및 미래 투자 재원 확보를 위해  발행을 포함한 다양한 방안을 검토중이나 현재까지 조달 방법 규모 등은 확정된 바가 없다고 일 공시했다. 앞서 한국거래소는 플렉스컴에 대해 조회공시를 요구했다.한국제지는 지난해 영업이익이 전년 대비 . 증가한 억만원으로 나타났다고 일 공시했다. 매출액은 같은 기간 대비 . 감소한 억만원으로 당기순이익은 . 증가한 억만원으로 나타났다. 회사 측은 원재료가격 약세에 따라 이익이 증가했다고 설명했다.티에이치엔은 계열사 제이에스엔이 현대커머셜로부터 차입한 억원에 대해 억원의 채무보증을 결정했다고 일 공시했다. 이는 자기자본대비 .에 달하는 규모다. 채무보증기간은 년 월 일부터 년간이다.전북은행은 지난 분기 영업이익이 전년 동기대비 . 하락한 억만원으로 잠정 집계됐다고 일 공시했다. 매출액은 . 증가한 억만원으로 나타났다. 당기순이익은 같은기간 . 하락한 억만원으로 확인됐다.회사 측은 웅진여신 관련 충당금 억원을 추가 적립했기 때문에 해당 분기 실적이 감소했다고 설명했다.전북은행은 지난해 영업이익이 억만원으로 전년 대비 . 하락했다고 일 공시했다. 매출액은 억만원으로 전년 대비 . 증가했고 당기순이익은 억만원으로 . 감소했다.회사 측은 웅진여신 관련 대손충당금 억원 적립에 따른 영향으로 이익규모가 감소했다며 이 일회성 요인을 제외하면 실질적인 이익규모는 직전사업연도 대비 영업이익 약 억원 순이익은 억원 증가했다고 설명했다.코웨이는 년 월 일부터 년 월 일까지 자사주 만주를 처분한다고 일 공시했다. 처분가액 총액은 억만원 규모다.회사 측은 주식매수 선택권 행사에 따른 자사주 처분이며 회사의 법인계좌에서 개인 증권위탁계좌로 직접 이체한다고 설명했다.전북은행은 보통주 주당 원에 현금결산 배당을 하기로 결정했다고 일 공시했다. 시가배당률은 . 배당금총액은 억만원에 달한다.전북은행은 년도 영업이익을 억원으로 예상한다고 일 공시했다. 이어 매출액은 억원 당기순이익은 억원으로 전망했다.현대제철은 오는 일 한국거래소 층 국제회의장에서 국내외 기관투자자 등을 대상으로 기업설명회를 개최한다고 일 공시했다.롯데제과는 계열사 기린식품을 의 비율로 흡수합병하기로 결정했다고 일 공시했다. 합병 목적은 사업다각화 및 경영효율성 증대에 따른 통합 시너지 효과를 발휘하는 것이다. 합병기일은 월 일이다.상사는 계열사인   회사가 홍콩 하나은행 지점으로부터 차입한 억만원에 대해 채무보증을 결정했다고 일 공시했다. 보증금액은 자기자본대비 .에 달하는 규모다.대림통상은 지난해 영업이익은 전년대비 . 하락한 억만원을 달성했다고 일 공시했다. 매출액은 같은 기간 대비 . 하락한 억만원 규모이고 억만원 규모의 순손실을 기록했다.제일모직은 오는 월 일에 지난해 결산실적을 공시하고 분기 경영실적 설명회를 개최할 예정이라고 일 공시했다.케이티스카이라이프는 오는 일 케이티스카이라이프 국제회의실에서 증권사 애널리스트 및 기관투자자들을 대상으로 지난 분기 결산실적발표회를 연다고 일 공시했다.코스닥시장본부는 일 신민저축은행에 대해 최근 현저한 시황변동과 관련해 조회공시를 요구했다. 답변기한은 오는 일 오후 시까지다.호텔신라는 지난 분기 영업이익이 전년 동기대비  하락해 억만원을 기록했다고 일 공시했다. 매출액은  증가한 억만원 당기순이익은 . 감소한 억원으로 나타났다.호텔신라는 지난해 영업이익이 전년 대비 . 증가한 억만원을 기록했다고 일 공시했다. 매출액은 같은 기간 대비 . 증가한 조억만원 상당을 당기순이익은  늘어난 억만원 상당을 기록했다.회사 측은 외국인 관광객 증가로 인한 면세점 영업 호조가 매출액에 영향을 끼쳤다고 설명했다.위메이드엔터테인먼트는 오는 월 일에 지난해 분기 및 연간실적을 공시할 예정이라고 일 공시했다.지앤에스티는 운영자금 조달을 목적으로 억만원 규모의 유상증자를 결정했다고 일 공시했다. 유증은 일반공모 방식으로 진행되며 신주 예정 발행가액은 원이다. 할인율은 다. 일반공모 청약 예정일은 월 일이며 신주권 교부 예정일은 월 일 상장예정일은 월 일이다.위메이드엔터테인먼트는 주식매수선택권 행사에 따른 자기주식교부를 목적으로 자사주 주를 장외처분하기로 결정했다고 일 공시했다. 처분예정금액은 억만원 상당이다.호텔신라는 보통주 주당 원 종류주 주당 원의 현금결산 배당을 결정했다고 일 공시했다. 시가배당률은 각각 . .이며 배당금 총액은 억만원이다.승화산업은 오션인더블유가 메리츠종합금융증권에서 만주를 키이스트에서 만주를 장외매수했다고 일 공시했다. 취득단가는 각각 원 원이다. 오션인더블유의 승화산업 주식 보유 비율은 .다.기아차는 보통주 주당 원의 현금결산배당을 하기로 결정했다고 일 공시했다. 시가배당률은 .이며 배당금총액은 억만원 상당이다.는 지난해 분기 영업이익이 억만원을 기록해 흑자전환했다고 일 공시했다. 매출액은 억만원으로 잠정집계돼 전년 동기대비 . 증가했다. 당기순이익은 억만원으로  증가했다.넥센타이어는 지난해 영업이익이 전년 동기대비  증가한 억이라고 일 공시했다. 같은 기간 매출액은 . 증가한 조 억원 당기순이익은 . 증가한 억원을 기록했다.회사 측은 거래처 확대와 공장증설에 따른 매출증가 원재료 가격 하락에 따른 매출원가 하락이 실적에 영향을 끼쳤다고 설명했다.넥센타이어는 보통주 주당 원 종류주 주당 원에 현금결산 배당키로 했다고 일 공시했다. 시가배당율은 각각 . .였다. 배당금총액은 억만원이다.한국거래소는 한화스팩호에 대해 주권 상장 폐지 우려가 있다고 일 공시했다.회사는 기업인수목적회사로서 존립기한 만기 개월전까지 상장예비심사 청구서를 제출하지 않아 올해 월 일 관리종목으로 지정됐다.이와 관련해 회사가 관리종목 지정 이후 개월 이내 상장예비심사 청구서를 제출하지 않는 경우 상장폐지 기준에 해당된다.에스비엠은 김정환 김철수씨에서 김철수씨로 대표이사를 변경한다고 일 공시했다. 변경사유는 의사결정구조 일원화를 통한 신속하고 효율적인 경영활동을 강화하기 위해서다.회사측은 김정환 전 대표이사는 등기 사내이사로서 계속 경영에 참여할 예정이라고 설명했다.삼성카드는 지난해 영업이익이 전년동기대비 . 증가한 억원을 기록했다고 일 공시했다. 같은 기간 매출액은 매출액은 . 증가한 조억원 당기순이익은 . 증가한 억원으로 집계됐다.회사 측은 지난해 보유주식을 매각하면서 매출 및 이익이 증가했다고 설명했다.삼성카드는 보통주 주당 원에 현금결산배당을 실시키로 했다고 일 공시했다. 시가배당율은 . 배당금총액은 억만원이다.폴리텍은 벤처기업부가 중견기업부로 변경됐다고 일 공시했다.삼보모터스는 일 자동차부품 등을 주요사업으로 하는 계열사 삼보홀딩스의 주식 만주를 억원만원에 취득키로 결정했다고 공시했다.취득 후 삼보모터스의 삼보홀딩스 지분율은 다. 회사측은 프라코 인수를 위한 인수대금증자가 목적이라고 설명했다. 억매출 .평 과자가게 줄서서 샀더니.. 초에 억 슈퍼볼 광고 억쏜 기업은 이건희 마이바흐 고장나면배상금 억 김병만 정글촬영 중단 콩가개미 때문에 연말정산 환급액 궁금해 계산기돌렸더니김성은기자  저작권자  돈이 보이는 리얼타임 뉴스 머니투데이 무단전재 및 재배포 금지
11,"The Korea Exchange announced on the day that it would designate G&ST as a management item for reasons such as continuous operating loss for the last business year. Trading is suspended until the end of the day. Kyung-Min Kim View the E-Daily newspaper anytime, anywhere in your life Smart Economy Comprehensive Broadcasting E-Daily E-Daily Market Point, the best financial information terminal in Korea for real-time news and financial market E-Daily mobile service experts in the palm of your hand. Korea's best securities expert broadcasting E-Daily Customer Service Center Comprehensive economic information media E-Daily Unauthorized reproduction and redistribution prohibited"
12,The KOSDAQ Market Headquarters announced on the same day that G&ST will suspend stock trading due to the occurrence of a reason for designation as a management stock. The suspension period is until the end of the market. The hot issue at the opening of the shareholders' meeting season is the G&ST tear-jerking hand tank so many assassins lined up so many assassins are sold at a discount to the general public How the new Santa Fe interior is exposed and the handle is smiling. This visible real-time news Money Today is prohibited from unauthorized reproduction and redistribution
13,"G&ST announced on the day that the stake held by Jinsu Lee, the largest shareholder, had decreased from . to . Elpida Bankruptcy Wave How far was this car in G&ST Hyundai? When I asked why I couldn’t see the 10,000 won Ion Jonah or the unwrapped 10,000 won bill, how was it that I was defeated by the excited citizen commentator Yoo Si-min How to pass Samsung? This visible real-time news Money Today is prohibited from unauthorized reproduction and redistribution"
14,"G&ST announced on the day that it would exercise its preemptive rights for 10,000 shares. The exercise price is KRW 100 million per share. How far will Elpida bankruptcy go? I will buy a house in the old days if it becomes the G&ST lottery, etc. These days, Kim Moon-soo's handicraft nominations, transfers, and hand reactions are 10,000 times a day with stocks. Real-time news that shows the money of the copyright holder Money Today Unauthorized reproduction and redistribution prohibited"
15,"The following is the news of major stocks after the close of the stock market. Dongsung High Chem's operating profit for the quarter this year was 100 million won, compared to the same period of the previous year. Cheil Industries' quarterly operating profit for this year was 100 million won, compared to the same period last year. Koryo Zinc posted an operating profit of 100 million won this year, compared to the same period last year. Disclosure that the number has decreased. Daewoo E&C Korea Exchange requested disclosure of inquiry about the alleged embezzlement and breach of trust from Daewoo E&C. The deadline for reply is noon on the following day. It was announced that it had decided to acquire 10,000 won of shares of Jovi, an affiliated company, for 100 million won in order to strengthen business competitiveness and expand synergy through improvement of the agricultural management structure. prepare . Announced that it has decreased. Announced that it has received a request from the Enex Financial Supervisory Service to submit a correction report on the securities declaration submitted last day. Disclosure. Sungwoo Electronics Korea Investment Partners announced that it had 10,000 shares of Sungwoo Electronics by acquiring bonds with warrants. G&ST Korea Exchange KOSDAQ Market Headquarters announced that the suspension of stock trading for G&ST will be lifted on the first day of the next month. G&ST has been suspended from trading since the previous day due to stock exchange listing due to capital reduction. Daewoo E&C announced that the Daegu District Prosecutor's Office is under investigation into the allegation of embezzlement and breach of trust by the prosecution, but there has been no confirmed or confirmed facts so far. Shopping This year's quarterly operating profit was 100 million won, compared to the same period last year. Tongyang Cement Korea Exchange KOSDAQ Market Headquarters requested disclosure regarding Dongyang Cement's recent significant stock price surge. The deadline for responses is 1 p.m. on the same day. The Korean company evaluation last year's operating profit was billions of won, compared to the same period last year. Announced that it has increased. Announced that it has decided to pay a cash dividend of KRW per share for common stock in Korea Ratings. Kim Jong-nam"
16,"Promotion of large potato reduction...The Bell, which may be directly engaged in medical device manufacturing | This article was published in the capital market media Money Today. G&ST, which has decided to reduce the size of the capital market, is expected to get out of the management category without too much trouble. However, along with capital erosion, the weak profitability that made G&ST a part of the stock market alert is a task that must be resolved. To this end, G&ST is planning to enter the medical device distribution business as a new business. At the beginning, it generates sales of about 100 million won per month, and in the second half of the year, it is aiming for sales of more than 100 million won. This is to avoid being subjected to a substantive review of delisting by lowering the capital erosion rate. The ratio of potatoes to large is a high measure to minimize market shock. The question is how much and how long the potato effect will last. It is a common opinion in the gay industry that diluting the deficit that has snowballed due to the continued operating loss is only a workaround. The reality of G&ST is that, without a dramatic turnaround, it cannot fall into a swamp of deficits again. If the potato is cut on the first day of the month, G&ST's capital will decrease from 100 million won to 100 million won. Assuming there is no change in the remaining capital items, the capital erosion rate, which was close to , will drop sharply. It will be excluded from the substantive review of delisting. As mentioned above, if the de-magnetization is completed, G&ST's balance sheet will have a profit of KRW 100 million in potato gain. However, as of the quarter, the deficit amounted to a much higher amount of KRW billion. In addition, the profit from potatoes is only an account change for accounting, and there is no actual cash inflow, so there is a limit to fundamentally improving the company's constitution. In the end, the self-rescue measures that G&ST can choose are to increase sales and improve profitability, thereby increasing the cash flow from operating activities. It is only a principled thing to increase creativity. This is also directly related to the resolution of the weak profitability item, which is one of the reasons for G&ST's designation as an investment alert. It is a business that sells medical equipment, including diagnostic kits, to hospitals and large medical institutions. Medical device distribution has already been added to the business purpose. The company expects that, if the medical device distribution business is on a normal track, it will record sales at the level of last year and generate some operating profit. He said that the current goal is to generate sales of about 100 million won per month in the beginning and record sales of 100 million won throughout the second half of the year, he said. G&ST is also considering a plan to directly engage in the medical device manufacturing business depending on the market situation. As G&ST has no borrowings and no issues related to management transparency have ever been raised, if it succeeds in resolving capital encroachment and converting to a profit, it is a stock to attract investors. looking forward to getting out. In fact, among the debts of G&ST, short-term and long-term borrowings are zero. Since there is no financial cost, if only operating profit is generated, a significant portion of this is directly related to net profit. Company officials reduced expenses through large-scale layoffs. He said that it is possible to turn to the black, and he said earlier this year, during the capital increase process, the supervisory authority and the host company diagnosed that the internal control system was perfect. In the middle of Gangnam, I sold 10,000 won, and as soon as the wall-mounted drum washing machine was released, the Tongyeong elementary school student murder suspect brazenly broadcasted interview Why Newlyweds Essentials Products that hit 100 million won Year-old Lamborghini Appeared in the domestic second-hand market Real-time news money Today's unauthorized reproduction and redistribution prohibited"
17,"The KOSDAQ continues to rise on the news of improvement in US economic indicators. As of the morning of the morning of the day, the KOSDAQ index recorded . The U.S. Department of Commerce announced on the same day that the monthly trade deficit was $100 million, down from the previous month. According to the US Department of Labor, the number of new jobless claims for the week starting from the previous day was 10,000, down from the previous week. The KOSDAQ index is also maintaining an upward trend under the influence of this. While individual investors net bought 100 million won and support the index, foreigners and institutions are net selling 100 million won each. By industry, most stocks are strong except for construction finance, non-metallic transportation equipment parts, other manufacturing, and telecommunication services. Food, beverage, tobacco, paper, wood, machinery, equipment, broadcasting, service, and semiconductor parts are on the rise. G&ST is trading at won, up won from the previous day. G&ST's quarterly sales were . Although it recorded a decrease of KRW 100 million, it was announced on the day that the provisional operating profit turned to the black in KRW billion. Among the top-ranked stocks by market capitalization, Celltrion, POSCO Gemvacs SFA, Seegene, Medipost, etc. are on the rise. Seoul Semiconductor East-West Broadband Wemade and others are weak. Weathercaster Park Eun-ji was so glamorous, heck, I found out why the president shot Yang Hak-seon a billion dollars. Taekwondo Hwang Gyeong-seon tried to win the Olympic streak with a golden kick. Break through the speed of Korean-Japanese volleyball."
18,"Stock MarketSamsung Fire & Marine Insurance Day Company briefing held in Hong Kong and Singapore Hanyoung Accounting Firm, public auditor Approval of partial changes to the articles of incorporation related to the spin-off Erit Basic common stocks decided on cash dividend per share Jinyang Development, a subsidiary of Jinyang Holdings, decided to convene an extraordinary general meeting to convene a partial amendment to the articles of incorporation. Supply contract Acquisition of patent rights for touch line signal processing circuit of Silicon Works touch screen Supply contract with NextI Korea Optical High-Tech for a nonsense vision system worth KRW 100 million Samsung for the purpose of stabilizing the stock price of Modetour Networks, etc. Signed a trust contract to acquire treasury stock worth KRW 100 million with securities Decision to allocate KRW 100 million to disciple Yoo Il-woo, CEO of PSNG-Hyun, to increase management efficiency In order to diversify IlIDN business and increase management efficiency, decide to merge with affiliate Speed ​​Dial Removal of trading suspension Acutech’s operating funds and other funding purposes Deciding to increase capital in the amount of 100 million won Incorporated Fujian Agricultural Development Co., Ltd., a tea-related company, as a subsidiary To strengthen Samwoo EMC’s responsible management Changed from Young-Joo Sohn to Young-Joo Son to Ji-Chan Son to each representative System to stabilize Daedong Steel’s stock price Decided to extend a treasury stock purchase trust contract with Kookmin Bank Demoa, a subsidiary of Forbes TNC Decision to acquire 100 million won worth of stock through convertible bond claims for the purpose of stabilizing business Better than Japan's humiliation, China surprised by Korean products"
19,"Stock market Internet business market analysis and business opportunity search New establishment and affiliates in Singapore Gyeryong Construction Industry AM Plus PFV Jeongja’s decision to take over a debt conditional in the amount of 100 million won Samyoung Holdings’ temporary shareholders’ meeting approved some changes to the articles of incorporation related to stock splits Erit Basic common stock decided to pay out cash dividends Jinyang Development, a subsidiary of Jinyang Holdings Date of resolution to convene an extraordinary general meeting KOSDAQ market Decided to merge with Speed ​​Dial for the purpose of diversifying IDN business and increasing management efficiency Decision to suspend stock trading from G&S Steil to GNS Preliminary notice of designation as an unfaithful disclosure corporation due to change in disclosure on the number and amount of shares Ssangyong E&C Participating in Iraqi waterworks bid China King Highway Holdings Limited Incorporated Fujian Agricultural Development Co., Ltd., a herbal medicine and tea-related company, as a subsidiary Samwoo EMC Reinforcement of responsible management Son Young-joo system Changed from Young-Joo Sohn to Young-Chan Jeong Ji-Chan as individual representatives Daedong Steel decided to extend a treasury stock acquisition trust contract with Kookmin Bank for the purpose of stabilization Decision to acquire 100 million won worth of stock through claiming convertible bonds for the purpose of stabilizing the management of Forvis TNC Subsidiary D’Moa The main bank shock that the female president made fun of The reality The chilling news for men having children late"
